signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
BPSK_P3_000_000_-12dB,dual/train/signals/BPSK_P3_000_000_-12dB.npy,BPSK,P3,8,12,-12,0.43207767208705394,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_000_-06dB,dual/train/signals/BPSK_P3_000_000_-06dB.npy,BPSK,P3,8,12,-6,0.43207767208705394,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_000_+00dB,dual/train/signals/BPSK_P3_000_000_+00dB.npy,BPSK,P3,8,12,0,0.43207767208705394,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_000_+06dB,dual/train/signals/BPSK_P3_000_000_+06dB.npy,BPSK,P3,8,12,6,0.43207767208705394,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_000_+12dB,dual/train/signals/BPSK_P3_000_000_+12dB.npy,BPSK,P3,8,12,12,0.43207767208705394,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_000_+18dB,dual/train/signals/BPSK_P3_000_000_+18dB.npy,BPSK,P3,8,12,18,0.43207767208705394,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_001_-12dB,dual/train/signals/BPSK_P3_000_001_-12dB.npy,BPSK,P3,8,12,-12,0.26808545072554835,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_001_-06dB,dual/train/signals/BPSK_P3_000_001_-06dB.npy,BPSK,P3,8,12,-6,0.26808545072554835,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_001_+00dB,dual/train/signals/BPSK_P3_000_001_+00dB.npy,BPSK,P3,8,12,0,0.26808545072554835,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_001_+06dB,dual/train/signals/BPSK_P3_000_001_+06dB.npy,BPSK,P3,8,12,6,0.26808545072554835,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_001_+12dB,dual/train/signals/BPSK_P3_000_001_+12dB.npy,BPSK,P3,8,12,12,0.26808545072554835,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_001_+18dB,dual/train/signals/BPSK_P3_000_001_+18dB.npy,BPSK,P3,8,12,18,0.26808545072554835,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_002_-12dB,dual/train/signals/BPSK_P3_000_002_-12dB.npy,BPSK,P3,8,12,-12,0.40029489153869996,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_002_-06dB,dual/train/signals/BPSK_P3_000_002_-06dB.npy,BPSK,P3,8,12,-6,0.40029489153869996,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_002_+00dB,dual/train/signals/BPSK_P3_000_002_+00dB.npy,BPSK,P3,8,12,0,0.40029489153869996,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_002_+06dB,dual/train/signals/BPSK_P3_000_002_+06dB.npy,BPSK,P3,8,12,6,0.40029489153869996,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_002_+12dB,dual/train/signals/BPSK_P3_000_002_+12dB.npy,BPSK,P3,8,12,12,0.40029489153869996,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_002_+18dB,dual/train/signals/BPSK_P3_000_002_+18dB.npy,BPSK,P3,8,12,18,0.40029489153869996,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_003_-12dB,dual/train/signals/BPSK_P3_000_003_-12dB.npy,BPSK,P3,8,12,-12,0.4294207108391477,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_003_-06dB,dual/train/signals/BPSK_P3_000_003_-06dB.npy,BPSK,P3,8,12,-6,0.4294207108391477,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_003_+00dB,dual/train/signals/BPSK_P3_000_003_+00dB.npy,BPSK,P3,8,12,0,0.4294207108391477,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_003_+06dB,dual/train/signals/BPSK_P3_000_003_+06dB.npy,BPSK,P3,8,12,6,0.4294207108391477,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_003_+12dB,dual/train/signals/BPSK_P3_000_003_+12dB.npy,BPSK,P3,8,12,12,0.4294207108391477,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_003_+18dB,dual/train/signals/BPSK_P3_000_003_+18dB.npy,BPSK,P3,8,12,18,0.4294207108391477,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_004_-12dB,dual/train/signals/BPSK_P3_000_004_-12dB.npy,BPSK,P3,8,12,-12,0.3747659303009771,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_004_-06dB,dual/train/signals/BPSK_P3_000_004_-06dB.npy,BPSK,P3,8,12,-6,0.3747659303009771,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_004_+00dB,dual/train/signals/BPSK_P3_000_004_+00dB.npy,BPSK,P3,8,12,0,0.3747659303009771,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_004_+06dB,dual/train/signals/BPSK_P3_000_004_+06dB.npy,BPSK,P3,8,12,6,0.3747659303009771,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_004_+12dB,dual/train/signals/BPSK_P3_000_004_+12dB.npy,BPSK,P3,8,12,12,0.3747659303009771,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_004_+18dB,dual/train/signals/BPSK_P3_000_004_+18dB.npy,BPSK,P3,8,12,18,0.3747659303009771,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_005_-12dB,dual/train/signals/BPSK_P3_000_005_-12dB.npy,BPSK,P3,8,12,-12,0.4245498130093114,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_005_-06dB,dual/train/signals/BPSK_P3_000_005_-06dB.npy,BPSK,P3,8,12,-6,0.4245498130093114,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_005_+00dB,dual/train/signals/BPSK_P3_000_005_+00dB.npy,BPSK,P3,8,12,0,0.4245498130093114,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_005_+06dB,dual/train/signals/BPSK_P3_000_005_+06dB.npy,BPSK,P3,8,12,6,0.4245498130093114,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_005_+12dB,dual/train/signals/BPSK_P3_000_005_+12dB.npy,BPSK,P3,8,12,12,0.4245498130093114,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_005_+18dB,dual/train/signals/BPSK_P3_000_005_+18dB.npy,BPSK,P3,8,12,18,0.4245498130093114,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
BPSK_P3_000_006_-12dB,dual/train/signals/BPSK_P3_000_006_-12dB.npy,BPSK,P3,8,12,-12,0.3782927994277443,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]"
