signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
EQFM_LFM_BPSK_000_000_-12dB,dual/train/signals/EQFM_LFM_BPSK_000_000_-12dB.npy,EQFM,LFM_BPSK,4,14,-12,0.453883098768774,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_000_-06dB,dual/train/signals/EQFM_LFM_BPSK_000_000_-06dB.npy,EQFM,LFM_BPSK,4,14,-6,0.453883098768774,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_000_+00dB,dual/train/signals/EQFM_LFM_BPSK_000_000_+00dB.npy,EQFM,LFM_BPSK,4,14,0,0.453883098768774,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_000_+06dB,dual/train/signals/EQFM_LFM_BPSK_000_000_+06dB.npy,EQFM,LFM_BPSK,4,14,6,0.453883098768774,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_000_+12dB,dual/train/signals/EQFM_LFM_BPSK_000_000_+12dB.npy,EQFM,LFM_BPSK,4,14,12,0.453883098768774,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_000_+18dB,dual/train/signals/EQFM_LFM_BPSK_000_000_+18dB.npy,EQFM,LFM_BPSK,4,14,18,0.453883098768774,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_001_-12dB,dual/train/signals/EQFM_LFM_BPSK_000_001_-12dB.npy,EQFM,LFM_BPSK,4,14,-12,0.4077932205648266,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_001_-06dB,dual/train/signals/EQFM_LFM_BPSK_000_001_-06dB.npy,EQFM,LFM_BPSK,4,14,-6,0.4077932205648266,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_001_+00dB,dual/train/signals/EQFM_LFM_BPSK_000_001_+00dB.npy,EQFM,LFM_BPSK,4,14,0,0.4077932205648266,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_001_+06dB,dual/train/signals/EQFM_LFM_BPSK_000_001_+06dB.npy,EQFM,LFM_BPSK,4,14,6,0.4077932205648266,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_001_+12dB,dual/train/signals/EQFM_LFM_BPSK_000_001_+12dB.npy,EQFM,LFM_BPSK,4,14,12,0.4077932205648266,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_001_+18dB,dual/train/signals/EQFM_LFM_BPSK_000_001_+18dB.npy,EQFM,LFM_BPSK,4,14,18,0.4077932205648266,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_002_-12dB,dual/train/signals/EQFM_LFM_BPSK_000_002_-12dB.npy,EQFM,LFM_BPSK,4,14,-12,0.43918975265758,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_002_-06dB,dual/train/signals/EQFM_LFM_BPSK_000_002_-06dB.npy,EQFM,LFM_BPSK,4,14,-6,0.43918975265758,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_002_+00dB,dual/train/signals/EQFM_LFM_BPSK_000_002_+00dB.npy,EQFM,LFM_BPSK,4,14,0,0.43918975265758,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_002_+06dB,dual/train/signals/EQFM_LFM_BPSK_000_002_+06dB.npy,EQFM,LFM_BPSK,4,14,6,0.43918975265758,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_002_+12dB,dual/train/signals/EQFM_LFM_BPSK_000_002_+12dB.npy,EQFM,LFM_BPSK,4,14,12,0.43918975265758,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_002_+18dB,dual/train/signals/EQFM_LFM_BPSK_000_002_+18dB.npy,EQFM,LFM_BPSK,4,14,18,0.43918975265758,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_003_-12dB,dual/train/signals/EQFM_LFM_BPSK_000_003_-12dB.npy,EQFM,LFM_BPSK,4,14,-12,0.3707552220525772,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_003_-06dB,dual/train/signals/EQFM_LFM_BPSK_000_003_-06dB.npy,EQFM,LFM_BPSK,4,14,-6,0.3707552220525772,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_003_+00dB,dual/train/signals/EQFM_LFM_BPSK_000_003_+00dB.npy,EQFM,LFM_BPSK,4,14,0,0.3707552220525772,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_003_+06dB,dual/train/signals/EQFM_LFM_BPSK_000_003_+06dB.npy,EQFM,LFM_BPSK,4,14,6,0.3707552220525772,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_003_+12dB,dual/train/signals/EQFM_LFM_BPSK_000_003_+12dB.npy,EQFM,LFM_BPSK,4,14,12,0.3707552220525772,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_003_+18dB,dual/train/signals/EQFM_LFM_BPSK_000_003_+18dB.npy,EQFM,LFM_BPSK,4,14,18,0.3707552220525772,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_004_-12dB,dual/train/signals/EQFM_LFM_BPSK_000_004_-12dB.npy,EQFM,LFM_BPSK,4,14,-12,0.2855863195957862,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_004_-06dB,dual/train/signals/EQFM_LFM_BPSK_000_004_-06dB.npy,EQFM,LFM_BPSK,4,14,-6,0.2855863195957862,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_004_+00dB,dual/train/signals/EQFM_LFM_BPSK_000_004_+00dB.npy,EQFM,LFM_BPSK,4,14,0,0.2855863195957862,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_004_+06dB,dual/train/signals/EQFM_LFM_BPSK_000_004_+06dB.npy,EQFM,LFM_BPSK,4,14,6,0.2855863195957862,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_004_+12dB,dual/train/signals/EQFM_LFM_BPSK_000_004_+12dB.npy,EQFM,LFM_BPSK,4,14,12,0.2855863195957862,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
EQFM_LFM_BPSK_000_004_+18dB,dual/train/signals/EQFM_LFM_BPSK_000_004_+18dB.npy,EQFM,LFM_BPSK,4,14,18,0.2855863195957862,1,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
