signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
EQFM_QFSK_000_000_-12dB,dual/train/signals/EQFM_QFSK_000_000_-12dB.npy,EQFM,QFSK,4,7,-12,0.338278470892697,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_000_-06dB,dual/train/signals/EQFM_QFSK_000_000_-06dB.npy,EQFM,QFSK,4,7,-6,0.338278470892697,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_000_+00dB,dual/train/signals/EQFM_QFSK_000_000_+00dB.npy,EQFM,QFSK,4,7,0,0.338278470892697,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_000_+06dB,dual/train/signals/EQFM_QFSK_000_000_+06dB.npy,EQFM,QFSK,4,7,6,0.338278470892697,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_000_+12dB,dual/train/signals/EQFM_QFSK_000_000_+12dB.npy,EQFM,QFSK,4,7,12,0.338278470892697,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_000_+18dB,dual/train/signals/EQFM_QFSK_000_000_+18dB.npy,EQFM,QFSK,4,7,18,0.338278470892697,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_001_-12dB,dual/train/signals/EQFM_QFSK_000_001_-12dB.npy,EQFM,QFSK,4,7,-12,0.3210865843369297,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_001_-06dB,dual/train/signals/EQFM_QFSK_000_001_-06dB.npy,EQFM,QFSK,4,7,-6,0.3210865843369297,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_001_+00dB,dual/train/signals/EQFM_QFSK_000_001_+00dB.npy,EQFM,QFSK,4,7,0,0.3210865843369297,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_001_+06dB,dual/train/signals/EQFM_QFSK_000_001_+06dB.npy,EQFM,QFSK,4,7,6,0.3210865843369297,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_001_+12dB,dual/train/signals/EQFM_QFSK_000_001_+12dB.npy,EQFM,QFSK,4,7,12,0.3210865843369297,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_001_+18dB,dual/train/signals/EQFM_QFSK_000_001_+18dB.npy,EQFM,QFSK,4,7,18,0.3210865843369297,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_002_-12dB,dual/train/signals/EQFM_QFSK_000_002_-12dB.npy,EQFM,QFSK,4,7,-12,0.3069804333508392,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_002_-06dB,dual/train/signals/EQFM_QFSK_000_002_-06dB.npy,EQFM,QFSK,4,7,-6,0.3069804333508392,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_002_+00dB,dual/train/signals/EQFM_QFSK_000_002_+00dB.npy,EQFM,QFSK,4,7,0,0.3069804333508392,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_002_+06dB,dual/train/signals/EQFM_QFSK_000_002_+06dB.npy,EQFM,QFSK,4,7,6,0.3069804333508392,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_002_+12dB,dual/train/signals/EQFM_QFSK_000_002_+12dB.npy,EQFM,QFSK,4,7,12,0.3069804333508392,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_002_+18dB,dual/train/signals/EQFM_QFSK_000_002_+18dB.npy,EQFM,QFSK,4,7,18,0.3069804333508392,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_003_-12dB,dual/train/signals/EQFM_QFSK_000_003_-12dB.npy,EQFM,QFSK,4,7,-12,0.29337974515330845,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_003_-06dB,dual/train/signals/EQFM_QFSK_000_003_-06dB.npy,EQFM,QFSK,4,7,-6,0.29337974515330845,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_003_+00dB,dual/train/signals/EQFM_QFSK_000_003_+00dB.npy,EQFM,QFSK,4,7,0,0.29337974515330845,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_003_+06dB,dual/train/signals/EQFM_QFSK_000_003_+06dB.npy,EQFM,QFSK,4,7,6,0.29337974515330845,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_003_+12dB,dual/train/signals/EQFM_QFSK_000_003_+12dB.npy,EQFM,QFSK,4,7,12,0.29337974515330845,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_003_+18dB,dual/train/signals/EQFM_QFSK_000_003_+18dB.npy,EQFM,QFSK,4,7,18,0.29337974515330845,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_004_-12dB,dual/train/signals/EQFM_QFSK_000_004_-12dB.npy,EQFM,QFSK,4,7,-12,0.3064550351233639,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_004_-06dB,dual/train/signals/EQFM_QFSK_000_004_-06dB.npy,EQFM,QFSK,4,7,-6,0.3064550351233639,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_004_+00dB,dual/train/signals/EQFM_QFSK_000_004_+00dB.npy,EQFM,QFSK,4,7,0,0.3064550351233639,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_004_+06dB,dual/train/signals/EQFM_QFSK_000_004_+06dB.npy,EQFM,QFSK,4,7,6,0.3064550351233639,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_004_+12dB,dual/train/signals/EQFM_QFSK_000_004_+12dB.npy,EQFM,QFSK,4,7,12,0.3064550351233639,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_004_+18dB,dual/train/signals/EQFM_QFSK_000_004_+18dB.npy,EQFM,QFSK,4,7,18,0.3064550351233639,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_005_-12dB,dual/train/signals/EQFM_QFSK_000_005_-12dB.npy,EQFM,QFSK,4,7,-12,0.3127613551291833,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_QFSK_000_005_-06dB,dual/train/signals/EQFM_QFSK_000_005_-06dB.npy,EQFM,QFSK,4,7,-6,0.3127613551291833,1,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
