signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
EQFM_SFM_000_000_-12dB,dual/train/signals/EQFM_SFM_000_000_-12dB.npy,EQFM,SFM,4,5,-12,0.26169706696250367,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_-06dB,dual/train/signals/EQFM_SFM_000_000_-06dB.npy,EQFM,SFM,4,5,-6,0.26169706696250367,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_+00dB,dual/train/signals/EQFM_SFM_000_000_+00dB.npy,EQFM,SFM,4,5,0,0.26169706696250367,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_+06dB,dual/train/signals/EQFM_SFM_000_000_+06dB.npy,EQFM,SFM,4,5,6,0.26169706696250367,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_+12dB,dual/train/signals/EQFM_SFM_000_000_+12dB.npy,EQFM,SFM,4,5,12,0.26169706696250367,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_000_+18dB,dual/train/signals/EQFM_SFM_000_000_+18dB.npy,EQFM,SFM,4,5,18,0.26169706696250367,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_001_-12dB,dual/train/signals/EQFM_SFM_000_001_-12dB.npy,EQFM,SFM,4,5,-12,0.467390044341266,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_001_-06dB,dual/train/signals/EQFM_SFM_000_001_-06dB.npy,EQFM,SFM,4,5,-6,0.467390044341266,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_001_+00dB,dual/train/signals/EQFM_SFM_000_001_+00dB.npy,EQFM,SFM,4,5,0,0.467390044341266,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_001_+06dB,dual/train/signals/EQFM_SFM_000_001_+06dB.npy,EQFM,SFM,4,5,6,0.467390044341266,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
EQFM_SFM_000_001_+12dB,dual/train/signals/EQFM_SFM_000_001_+12dB.npy,EQFM,SFM,4,5,12,0.467390044341266,1,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
