signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
Frank_LFM_BPSK_000_000_-12dB,dual/train/signals/Frank_LFM_BPSK_000_000_-12dB.npy,Frank,LFM_BPSK,9,14,-12,0.49715144980858195,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Frank_LFM_BPSK_000_000_-06dB,dual/train/signals/Frank_LFM_BPSK_000_000_-06dB.npy,Frank,LFM_BPSK,9,14,-6,0.49715144980858195,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Frank_LFM_BPSK_000_000_+00dB,dual/train/signals/Frank_LFM_BPSK_000_000_+00dB.npy,Frank,LFM_BPSK,9,14,0,0.49715144980858195,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Frank_LFM_BPSK_000_000_+06dB,dual/train/signals/Frank_LFM_BPSK_000_000_+06dB.npy,Frank,LFM_BPSK,9,14,6,0.49715144980858195,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Frank_LFM_BPSK_000_000_+12dB,dual/train/signals/Frank_LFM_BPSK_000_000_+12dB.npy,Frank,LFM_BPSK,9,14,12,0.49715144980858195,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Frank_LFM_BPSK_000_000_+18dB,dual/train/signals/Frank_LFM_BPSK_000_000_+18dB.npy,Frank,LFM_BPSK,9,14,18,0.49715144980858195,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Frank_LFM_BPSK_000_001_-12dB,dual/train/signals/Frank_LFM_BPSK_000_001_-12dB.npy,Frank,LFM_BPSK,9,14,-12,0.4896682143567742,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Frank_LFM_BPSK_000_001_-06dB,dual/train/signals/Frank_LFM_BPSK_000_001_-06dB.npy,Frank,LFM_BPSK,9,14,-6,0.4896682143567742,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Frank_LFM_BPSK_000_001_+00dB,dual/train/signals/Frank_LFM_BPSK_000_001_+00dB.npy,Frank,LFM_BPSK,9,14,0,0.4896682143567742,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Frank_LFM_BPSK_000_001_+06dB,dual/train/signals/Frank_LFM_BPSK_000_001_+06dB.npy,Frank,LFM_BPSK,9,14,6,0.4896682143567742,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Frank_LFM_BPSK_000_001_+12dB,dual/train/signals/Frank_LFM_BPSK_000_001_+12dB.npy,Frank,LFM_BPSK,9,14,12,0.4896682143567742,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Frank_LFM_BPSK_000_001_+18dB,dual/train/signals/Frank_LFM_BPSK_000_001_+18dB.npy,Frank,LFM_BPSK,9,14,18,0.4896682143567742,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
Frank_LFM_BPSK_000_002_-12dB,dual/train/signals/Frank_LFM_BPSK_000_002_-12dB.npy,Frank,LFM_BPSK,9,14,-12,0.3429635060080573,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1]"
