signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
Frank_P4_000_000_-12dB,dual/train/signals/Frank_P4_000_000_-12dB.npy,Frank,P4,9,13,-12,0.39050807410175004,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_-06dB,dual/train/signals/Frank_P4_000_000_-06dB.npy,Frank,P4,9,13,-6,0.39050807410175004,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+00dB,dual/train/signals/Frank_P4_000_000_+00dB.npy,Frank,P4,9,13,0,0.39050807410175004,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+06dB,dual/train/signals/Frank_P4_000_000_+06dB.npy,Frank,P4,9,13,6,0.39050807410175004,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+12dB,dual/train/signals/Frank_P4_000_000_+12dB.npy,Frank,P4,9,13,12,0.39050807410175004,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_000_+18dB,dual/train/signals/Frank_P4_000_000_+18dB.npy,Frank,P4,9,13,18,0.39050807410175004,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_-12dB,dual/train/signals/Frank_P4_000_001_-12dB.npy,Frank,P4,9,13,-12,0.4897666878918165,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_-06dB,dual/train/signals/Frank_P4_000_001_-06dB.npy,Frank,P4,9,13,-6,0.4897666878918165,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_+00dB,dual/train/signals/Frank_P4_000_001_+00dB.npy,Frank,P4,9,13,0,0.4897666878918165,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_+06dB,dual/train/signals/Frank_P4_000_001_+06dB.npy,Frank,P4,9,13,6,0.4897666878918165,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_+12dB,dual/train/signals/Frank_P4_000_001_+12dB.npy,Frank,P4,9,13,12,0.4897666878918165,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
Frank_P4_000_001_+18dB,dual/train/signals/Frank_P4_000_001_+18dB.npy,Frank,P4,9,13,18,0.4897666878918165,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1]"
