signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_BPSK_000_000_-12dB,dual/train/signals/LFM_BPSK_000_000_-12dB.npy,LFM,BPSK,1,8,-12,0.31684471454847873,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_-06dB,dual/train/signals/LFM_BPSK_000_000_-06dB.npy,LFM,BPSK,1,8,-6,0.31684471454847873,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_+00dB,dual/train/signals/LFM_BPSK_000_000_+00dB.npy,LFM,BPSK,1,8,0,0.31684471454847873,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_+06dB,dual/train/signals/LFM_BPSK_000_000_+06dB.npy,LFM,BPSK,1,8,6,0.31684471454847873,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_+12dB,dual/train/signals/LFM_BPSK_000_000_+12dB.npy,LFM,BPSK,1,8,12,0.31684471454847873,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_000_+18dB,dual/train/signals/LFM_BPSK_000_000_+18dB.npy,LFM,BPSK,1,8,18,0.31684471454847873,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_001_-12dB,dual/train/signals/LFM_BPSK_000_001_-12dB.npy,LFM,BPSK,1,8,-12,0.3656286977143546,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_001_-06dB,dual/train/signals/LFM_BPSK_000_001_-06dB.npy,LFM,BPSK,1,8,-6,0.3656286977143546,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_001_+00dB,dual/train/signals/LFM_BPSK_000_001_+00dB.npy,LFM,BPSK,1,8,0,0.3656286977143546,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_001_+06dB,dual/train/signals/LFM_BPSK_000_001_+06dB.npy,LFM,BPSK,1,8,6,0.3656286977143546,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_001_+12dB,dual/train/signals/LFM_BPSK_000_001_+12dB.npy,LFM,BPSK,1,8,12,0.3656286977143546,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_001_+18dB,dual/train/signals/LFM_BPSK_000_001_+18dB.npy,LFM,BPSK,1,8,18,0.3656286977143546,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_002_-12dB,dual/train/signals/LFM_BPSK_000_002_-12dB.npy,LFM,BPSK,1,8,-12,0.368038588732306,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_002_-06dB,dual/train/signals/LFM_BPSK_000_002_-06dB.npy,LFM,BPSK,1,8,-6,0.368038588732306,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_002_+00dB,dual/train/signals/LFM_BPSK_000_002_+00dB.npy,LFM,BPSK,1,8,0,0.368038588732306,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_002_+06dB,dual/train/signals/LFM_BPSK_000_002_+06dB.npy,LFM,BPSK,1,8,6,0.368038588732306,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_002_+12dB,dual/train/signals/LFM_BPSK_000_002_+12dB.npy,LFM,BPSK,1,8,12,0.368038588732306,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_002_+18dB,dual/train/signals/LFM_BPSK_000_002_+18dB.npy,LFM,BPSK,1,8,18,0.368038588732306,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_003_-12dB,dual/train/signals/LFM_BPSK_000_003_-12dB.npy,LFM,BPSK,1,8,-12,0.4627921508665722,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_003_-06dB,dual/train/signals/LFM_BPSK_000_003_-06dB.npy,LFM,BPSK,1,8,-6,0.4627921508665722,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_003_+00dB,dual/train/signals/LFM_BPSK_000_003_+00dB.npy,LFM,BPSK,1,8,0,0.4627921508665722,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_003_+06dB,dual/train/signals/LFM_BPSK_000_003_+06dB.npy,LFM,BPSK,1,8,6,0.4627921508665722,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_003_+12dB,dual/train/signals/LFM_BPSK_000_003_+12dB.npy,LFM,BPSK,1,8,12,0.4627921508665722,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_003_+18dB,dual/train/signals/LFM_BPSK_000_003_+18dB.npy,LFM,BPSK,1,8,18,0.4627921508665722,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_004_-12dB,dual/train/signals/LFM_BPSK_000_004_-12dB.npy,LFM,BPSK,1,8,-12,0.4869524713899842,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_004_-06dB,dual/train/signals/LFM_BPSK_000_004_-06dB.npy,LFM,BPSK,1,8,-6,0.4869524713899842,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_004_+00dB,dual/train/signals/LFM_BPSK_000_004_+00dB.npy,LFM,BPSK,1,8,0,0.4869524713899842,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_004_+06dB,dual/train/signals/LFM_BPSK_000_004_+06dB.npy,LFM,BPSK,1,8,6,0.4869524713899842,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_004_+12dB,dual/train/signals/LFM_BPSK_000_004_+12dB.npy,LFM,BPSK,1,8,12,0.4869524713899842,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_004_+18dB,dual/train/signals/LFM_BPSK_000_004_+18dB.npy,LFM,BPSK,1,8,18,0.4869524713899842,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_005_-12dB,dual/train/signals/LFM_BPSK_000_005_-12dB.npy,LFM,BPSK,1,8,-12,0.37888451910219767,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_005_-06dB,dual/train/signals/LFM_BPSK_000_005_-06dB.npy,LFM,BPSK,1,8,-6,0.37888451910219767,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_005_+00dB,dual/train/signals/LFM_BPSK_000_005_+00dB.npy,LFM,BPSK,1,8,0,0.37888451910219767,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_005_+06dB,dual/train/signals/LFM_BPSK_000_005_+06dB.npy,LFM,BPSK,1,8,6,0.37888451910219767,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_005_+12dB,dual/train/signals/LFM_BPSK_000_005_+12dB.npy,LFM,BPSK,1,8,12,0.37888451910219767,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_005_+18dB,dual/train/signals/LFM_BPSK_000_005_+18dB.npy,LFM,BPSK,1,8,18,0.37888451910219767,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_006_-12dB,dual/train/signals/LFM_BPSK_000_006_-12dB.npy,LFM,BPSK,1,8,-12,0.2960670899996143,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_006_-06dB,dual/train/signals/LFM_BPSK_000_006_-06dB.npy,LFM,BPSK,1,8,-6,0.2960670899996143,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_006_+00dB,dual/train/signals/LFM_BPSK_000_006_+00dB.npy,LFM,BPSK,1,8,0,0.2960670899996143,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_006_+06dB,dual/train/signals/LFM_BPSK_000_006_+06dB.npy,LFM,BPSK,1,8,6,0.2960670899996143,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_006_+12dB,dual/train/signals/LFM_BPSK_000_006_+12dB.npy,LFM,BPSK,1,8,12,0.2960670899996143,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_006_+18dB,dual/train/signals/LFM_BPSK_000_006_+18dB.npy,LFM,BPSK,1,8,18,0.2960670899996143,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_007_-12dB,dual/train/signals/LFM_BPSK_000_007_-12dB.npy,LFM,BPSK,1,8,-12,0.3968166014541172,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_007_-06dB,dual/train/signals/LFM_BPSK_000_007_-06dB.npy,LFM,BPSK,1,8,-6,0.3968166014541172,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_007_+00dB,dual/train/signals/LFM_BPSK_000_007_+00dB.npy,LFM,BPSK,1,8,0,0.3968166014541172,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_007_+06dB,dual/train/signals/LFM_BPSK_000_007_+06dB.npy,LFM,BPSK,1,8,6,0.3968166014541172,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_007_+12dB,dual/train/signals/LFM_BPSK_000_007_+12dB.npy,LFM,BPSK,1,8,12,0.3968166014541172,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_000_007_+18dB,dual/train/signals/LFM_BPSK_000_007_+18dB.npy,LFM,BPSK,1,8,18,0.3968166014541172,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_001_000_-12dB,dual/train/signals/LFM_BPSK_001_000_-12dB.npy,LFM,BPSK,1,8,-12,0.4916795114617679,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_001_000_-06dB,dual/train/signals/LFM_BPSK_001_000_-06dB.npy,LFM,BPSK,1,8,-6,0.4916795114617679,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_001_000_+00dB,dual/train/signals/LFM_BPSK_001_000_+00dB.npy,LFM,BPSK,1,8,0,0.4916795114617679,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_001_000_+06dB,dual/train/signals/LFM_BPSK_001_000_+06dB.npy,LFM,BPSK,1,8,6,0.4916795114617679,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_001_000_+12dB,dual/train/signals/LFM_BPSK_001_000_+12dB.npy,LFM,BPSK,1,8,12,0.4916795114617679,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_001_000_+18dB,dual/train/signals/LFM_BPSK_001_000_+18dB.npy,LFM,BPSK,1,8,18,0.4916795114617679,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_001_001_-12dB,dual/train/signals/LFM_BPSK_001_001_-12dB.npy,LFM,BPSK,1,8,-12,0.3010613456634912,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_001_001_-06dB,dual/train/signals/LFM_BPSK_001_001_-06dB.npy,LFM,BPSK,1,8,-6,0.3010613456634912,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_001_001_+00dB,dual/train/signals/LFM_BPSK_001_001_+00dB.npy,LFM,BPSK,1,8,0,0.3010613456634912,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_001_001_+06dB,dual/train/signals/LFM_BPSK_001_001_+06dB.npy,LFM,BPSK,1,8,6,0.3010613456634912,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
LFM_BPSK_001_001_+12dB,dual/train/signals/LFM_BPSK_001_001_+12dB.npy,LFM,BPSK,1,8,12,0.3010613456634912,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
