signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_DLFM_000_000_-12dB,dual/train/signals/LFM_DLFM_000_000_-12dB.npy,LFM,DLFM,1,2,-12,0.31976400233561253,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_-06dB,dual/train/signals/LFM_DLFM_000_000_-06dB.npy,LFM,DLFM,1,2,-6,0.31976400233561253,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_+00dB,dual/train/signals/LFM_DLFM_000_000_+00dB.npy,LFM,DLFM,1,2,0,0.31976400233561253,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_+06dB,dual/train/signals/LFM_DLFM_000_000_+06dB.npy,LFM,DLFM,1,2,6,0.31976400233561253,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_+12dB,dual/train/signals/LFM_DLFM_000_000_+12dB.npy,LFM,DLFM,1,2,12,0.31976400233561253,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_000_+18dB,dual/train/signals/LFM_DLFM_000_000_+18dB.npy,LFM,DLFM,1,2,18,0.31976400233561253,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_001_-12dB,dual/train/signals/LFM_DLFM_000_001_-12dB.npy,LFM,DLFM,1,2,-12,0.2802902168027843,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_001_-06dB,dual/train/signals/LFM_DLFM_000_001_-06dB.npy,LFM,DLFM,1,2,-6,0.2802902168027843,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_001_+00dB,dual/train/signals/LFM_DLFM_000_001_+00dB.npy,LFM,DLFM,1,2,0,0.2802902168027843,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_001_+06dB,dual/train/signals/LFM_DLFM_000_001_+06dB.npy,LFM,DLFM,1,2,6,0.2802902168027843,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_001_+12dB,dual/train/signals/LFM_DLFM_000_001_+12dB.npy,LFM,DLFM,1,2,12,0.2802902168027843,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_001_+18dB,dual/train/signals/LFM_DLFM_000_001_+18dB.npy,LFM,DLFM,1,2,18,0.2802902168027843,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_002_-12dB,dual/train/signals/LFM_DLFM_000_002_-12dB.npy,LFM,DLFM,1,2,-12,0.3092116336455367,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_002_-06dB,dual/train/signals/LFM_DLFM_000_002_-06dB.npy,LFM,DLFM,1,2,-6,0.3092116336455367,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_002_+00dB,dual/train/signals/LFM_DLFM_000_002_+00dB.npy,LFM,DLFM,1,2,0,0.3092116336455367,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_002_+06dB,dual/train/signals/LFM_DLFM_000_002_+06dB.npy,LFM,DLFM,1,2,6,0.3092116336455367,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_002_+12dB,dual/train/signals/LFM_DLFM_000_002_+12dB.npy,LFM,DLFM,1,2,12,0.3092116336455367,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_002_+18dB,dual/train/signals/LFM_DLFM_000_002_+18dB.npy,LFM,DLFM,1,2,18,0.3092116336455367,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_003_-12dB,dual/train/signals/LFM_DLFM_000_003_-12dB.npy,LFM,DLFM,1,2,-12,0.44750465398472394,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_003_-06dB,dual/train/signals/LFM_DLFM_000_003_-06dB.npy,LFM,DLFM,1,2,-6,0.44750465398472394,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_003_+00dB,dual/train/signals/LFM_DLFM_000_003_+00dB.npy,LFM,DLFM,1,2,0,0.44750465398472394,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_003_+06dB,dual/train/signals/LFM_DLFM_000_003_+06dB.npy,LFM,DLFM,1,2,6,0.44750465398472394,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_003_+12dB,dual/train/signals/LFM_DLFM_000_003_+12dB.npy,LFM,DLFM,1,2,12,0.44750465398472394,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_003_+18dB,dual/train/signals/LFM_DLFM_000_003_+18dB.npy,LFM,DLFM,1,2,18,0.44750465398472394,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_004_-12dB,dual/train/signals/LFM_DLFM_000_004_-12dB.npy,LFM,DLFM,1,2,-12,0.38659565202420254,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_004_-06dB,dual/train/signals/LFM_DLFM_000_004_-06dB.npy,LFM,DLFM,1,2,-6,0.38659565202420254,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_004_+00dB,dual/train/signals/LFM_DLFM_000_004_+00dB.npy,LFM,DLFM,1,2,0,0.38659565202420254,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_004_+06dB,dual/train/signals/LFM_DLFM_000_004_+06dB.npy,LFM,DLFM,1,2,6,0.38659565202420254,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_004_+12dB,dual/train/signals/LFM_DLFM_000_004_+12dB.npy,LFM,DLFM,1,2,12,0.38659565202420254,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_004_+18dB,dual/train/signals/LFM_DLFM_000_004_+18dB.npy,LFM,DLFM,1,2,18,0.38659565202420254,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_005_-12dB,dual/train/signals/LFM_DLFM_000_005_-12dB.npy,LFM,DLFM,1,2,-12,0.2667961921498545,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_005_-06dB,dual/train/signals/LFM_DLFM_000_005_-06dB.npy,LFM,DLFM,1,2,-6,0.2667961921498545,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_005_+00dB,dual/train/signals/LFM_DLFM_000_005_+00dB.npy,LFM,DLFM,1,2,0,0.2667961921498545,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_005_+06dB,dual/train/signals/LFM_DLFM_000_005_+06dB.npy,LFM,DLFM,1,2,6,0.2667961921498545,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_005_+12dB,dual/train/signals/LFM_DLFM_000_005_+12dB.npy,LFM,DLFM,1,2,12,0.2667961921498545,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_005_+18dB,dual/train/signals/LFM_DLFM_000_005_+18dB.npy,LFM,DLFM,1,2,18,0.2667961921498545,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_006_-12dB,dual/train/signals/LFM_DLFM_000_006_-12dB.npy,LFM,DLFM,1,2,-12,0.37265837330369256,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_006_-06dB,dual/train/signals/LFM_DLFM_000_006_-06dB.npy,LFM,DLFM,1,2,-6,0.37265837330369256,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_006_+00dB,dual/train/signals/LFM_DLFM_000_006_+00dB.npy,LFM,DLFM,1,2,0,0.37265837330369256,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_006_+06dB,dual/train/signals/LFM_DLFM_000_006_+06dB.npy,LFM,DLFM,1,2,6,0.37265837330369256,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_006_+12dB,dual/train/signals/LFM_DLFM_000_006_+12dB.npy,LFM,DLFM,1,2,12,0.37265837330369256,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_DLFM_000_006_+18dB,dual/train/signals/LFM_DLFM_000_006_+18dB.npy,LFM,DLFM,1,2,18,0.37265837330369256,1,0,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
