signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_LFM_000_000_-12dB,dual/train/signals/LFM_LFM_000_000_-12dB.npy,LFM,LFM,1,1,-12,0.41949801738820547,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_-06dB,dual/train/signals/LFM_LFM_000_000_-06dB.npy,LFM,LFM,1,1,-6,0.41949801738820547,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+00dB,dual/train/signals/LFM_LFM_000_000_+00dB.npy,LFM,LFM,1,1,0,0.41949801738820547,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+06dB,dual/train/signals/LFM_LFM_000_000_+06dB.npy,LFM,LFM,1,1,6,0.41949801738820547,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+12dB,dual/train/signals/LFM_LFM_000_000_+12dB.npy,LFM,LFM,1,1,12,0.41949801738820547,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_000_+18dB,dual/train/signals/LFM_LFM_000_000_+18dB.npy,LFM,LFM,1,1,18,0.41949801738820547,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_-12dB,dual/train/signals/LFM_LFM_000_001_-12dB.npy,LFM,LFM,1,1,-12,0.2948469998110914,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_-06dB,dual/train/signals/LFM_LFM_000_001_-06dB.npy,LFM,LFM,1,1,-6,0.2948469998110914,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_+00dB,dual/train/signals/LFM_LFM_000_001_+00dB.npy,LFM,LFM,1,1,0,0.2948469998110914,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_+06dB,dual/train/signals/LFM_LFM_000_001_+06dB.npy,LFM,LFM,1,1,6,0.2948469998110914,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_+12dB,dual/train/signals/LFM_LFM_000_001_+12dB.npy,LFM,LFM,1,1,12,0.2948469998110914,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_001_+18dB,dual/train/signals/LFM_LFM_000_001_+18dB.npy,LFM,LFM,1,1,18,0.2948469998110914,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_002_-12dB,dual/train/signals/LFM_LFM_000_002_-12dB.npy,LFM,LFM,1,1,-12,0.4205415305457101,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_002_-06dB,dual/train/signals/LFM_LFM_000_002_-06dB.npy,LFM,LFM,1,1,-6,0.4205415305457101,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_002_+00dB,dual/train/signals/LFM_LFM_000_002_+00dB.npy,LFM,LFM,1,1,0,0.4205415305457101,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_002_+06dB,dual/train/signals/LFM_LFM_000_002_+06dB.npy,LFM,LFM,1,1,6,0.4205415305457101,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_002_+12dB,dual/train/signals/LFM_LFM_000_002_+12dB.npy,LFM,LFM,1,1,12,0.4205415305457101,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_002_+18dB,dual/train/signals/LFM_LFM_000_002_+18dB.npy,LFM,LFM,1,1,18,0.4205415305457101,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_003_-12dB,dual/train/signals/LFM_LFM_000_003_-12dB.npy,LFM,LFM,1,1,-12,0.4962999579503541,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_003_-06dB,dual/train/signals/LFM_LFM_000_003_-06dB.npy,LFM,LFM,1,1,-6,0.4962999579503541,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_003_+00dB,dual/train/signals/LFM_LFM_000_003_+00dB.npy,LFM,LFM,1,1,0,0.4962999579503541,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_003_+06dB,dual/train/signals/LFM_LFM_000_003_+06dB.npy,LFM,LFM,1,1,6,0.4962999579503541,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_003_+12dB,dual/train/signals/LFM_LFM_000_003_+12dB.npy,LFM,LFM,1,1,12,0.4962999579503541,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_003_+18dB,dual/train/signals/LFM_LFM_000_003_+18dB.npy,LFM,LFM,1,1,18,0.4962999579503541,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_004_-12dB,dual/train/signals/LFM_LFM_000_004_-12dB.npy,LFM,LFM,1,1,-12,0.38501887558136283,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_004_-06dB,dual/train/signals/LFM_LFM_000_004_-06dB.npy,LFM,LFM,1,1,-6,0.38501887558136283,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_004_+00dB,dual/train/signals/LFM_LFM_000_004_+00dB.npy,LFM,LFM,1,1,0,0.38501887558136283,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_004_+06dB,dual/train/signals/LFM_LFM_000_004_+06dB.npy,LFM,LFM,1,1,6,0.38501887558136283,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_004_+12dB,dual/train/signals/LFM_LFM_000_004_+12dB.npy,LFM,LFM,1,1,12,0.38501887558136283,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_004_+18dB,dual/train/signals/LFM_LFM_000_004_+18dB.npy,LFM,LFM,1,1,18,0.38501887558136283,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_005_-12dB,dual/train/signals/LFM_LFM_000_005_-12dB.npy,LFM,LFM,1,1,-12,0.3436004620770049,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_005_-06dB,dual/train/signals/LFM_LFM_000_005_-06dB.npy,LFM,LFM,1,1,-6,0.3436004620770049,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_005_+00dB,dual/train/signals/LFM_LFM_000_005_+00dB.npy,LFM,LFM,1,1,0,0.3436004620770049,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_005_+06dB,dual/train/signals/LFM_LFM_000_005_+06dB.npy,LFM,LFM,1,1,6,0.3436004620770049,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_005_+12dB,dual/train/signals/LFM_LFM_000_005_+12dB.npy,LFM,LFM,1,1,12,0.3436004620770049,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_005_+18dB,dual/train/signals/LFM_LFM_000_005_+18dB.npy,LFM,LFM,1,1,18,0.3436004620770049,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_006_-12dB,dual/train/signals/LFM_LFM_000_006_-12dB.npy,LFM,LFM,1,1,-12,0.46458568949031886,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_006_-06dB,dual/train/signals/LFM_LFM_000_006_-06dB.npy,LFM,LFM,1,1,-6,0.46458568949031886,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_006_+00dB,dual/train/signals/LFM_LFM_000_006_+00dB.npy,LFM,LFM,1,1,0,0.46458568949031886,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_006_+06dB,dual/train/signals/LFM_LFM_000_006_+06dB.npy,LFM,LFM,1,1,6,0.46458568949031886,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_006_+12dB,dual/train/signals/LFM_LFM_000_006_+12dB.npy,LFM,LFM,1,1,12,0.46458568949031886,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_006_+18dB,dual/train/signals/LFM_LFM_000_006_+18dB.npy,LFM,LFM,1,1,18,0.46458568949031886,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_007_-12dB,dual/train/signals/LFM_LFM_000_007_-12dB.npy,LFM,LFM,1,1,-12,0.4137242940105974,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_LFM_000_007_-06dB,dual/train/signals/LFM_LFM_000_007_-06dB.npy,LFM,LFM,1,1,-6,0.4137242940105974,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
