signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_MLFM_000_000_-12dB,dual/train/signals/LFM_MLFM_000_000_-12dB.npy,LFM,MLFM,1,3,-12,0.4522254801175474,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_000_-06dB,dual/train/signals/LFM_MLFM_000_000_-06dB.npy,LFM,MLFM,1,3,-6,0.4522254801175474,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_000_+00dB,dual/train/signals/LFM_MLFM_000_000_+00dB.npy,LFM,MLFM,1,3,0,0.4522254801175474,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_000_+06dB,dual/train/signals/LFM_MLFM_000_000_+06dB.npy,LFM,MLFM,1,3,6,0.4522254801175474,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_000_+12dB,dual/train/signals/LFM_MLFM_000_000_+12dB.npy,LFM,MLFM,1,3,12,0.4522254801175474,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_000_+18dB,dual/train/signals/LFM_MLFM_000_000_+18dB.npy,LFM,MLFM,1,3,18,0.4522254801175474,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_001_-12dB,dual/train/signals/LFM_MLFM_000_001_-12dB.npy,LFM,MLFM,1,3,-12,0.34705231458593055,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_001_-06dB,dual/train/signals/LFM_MLFM_000_001_-06dB.npy,LFM,MLFM,1,3,-6,0.34705231458593055,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_001_+00dB,dual/train/signals/LFM_MLFM_000_001_+00dB.npy,LFM,MLFM,1,3,0,0.34705231458593055,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_001_+06dB,dual/train/signals/LFM_MLFM_000_001_+06dB.npy,LFM,MLFM,1,3,6,0.34705231458593055,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_001_+12dB,dual/train/signals/LFM_MLFM_000_001_+12dB.npy,LFM,MLFM,1,3,12,0.34705231458593055,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_001_+18dB,dual/train/signals/LFM_MLFM_000_001_+18dB.npy,LFM,MLFM,1,3,18,0.34705231458593055,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_002_-12dB,dual/train/signals/LFM_MLFM_000_002_-12dB.npy,LFM,MLFM,1,3,-12,0.3766488751512521,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_MLFM_000_002_-06dB,dual/train/signals/LFM_MLFM_000_002_-06dB.npy,LFM,MLFM,1,3,-6,0.3766488751512521,1,0,"[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
