signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_P3_000_000_-12dB,dual/train/signals/LFM_P3_000_000_-12dB.npy,LFM,P3,1,12,-12,0.4396612989532632,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_000_-06dB,dual/train/signals/LFM_P3_000_000_-06dB.npy,LFM,P3,1,12,-6,0.4396612989532632,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_000_+00dB,dual/train/signals/LFM_P3_000_000_+00dB.npy,LFM,P3,1,12,0,0.4396612989532632,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_000_+06dB,dual/train/signals/LFM_P3_000_000_+06dB.npy,LFM,P3,1,12,6,0.4396612989532632,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_000_+12dB,dual/train/signals/LFM_P3_000_000_+12dB.npy,LFM,P3,1,12,12,0.4396612989532632,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_000_+18dB,dual/train/signals/LFM_P3_000_000_+18dB.npy,LFM,P3,1,12,18,0.4396612989532632,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_001_-12dB,dual/train/signals/LFM_P3_000_001_-12dB.npy,LFM,P3,1,12,-12,0.31210877958606886,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_001_-06dB,dual/train/signals/LFM_P3_000_001_-06dB.npy,LFM,P3,1,12,-6,0.31210877958606886,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_001_+00dB,dual/train/signals/LFM_P3_000_001_+00dB.npy,LFM,P3,1,12,0,0.31210877958606886,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_001_+06dB,dual/train/signals/LFM_P3_000_001_+06dB.npy,LFM,P3,1,12,6,0.31210877958606886,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_001_+12dB,dual/train/signals/LFM_P3_000_001_+12dB.npy,LFM,P3,1,12,12,0.31210877958606886,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_001_+18dB,dual/train/signals/LFM_P3_000_001_+18dB.npy,LFM,P3,1,12,18,0.31210877958606886,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_002_-12dB,dual/train/signals/LFM_P3_000_002_-12dB.npy,LFM,P3,1,12,-12,0.4125753231507324,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_002_-06dB,dual/train/signals/LFM_P3_000_002_-06dB.npy,LFM,P3,1,12,-6,0.4125753231507324,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_002_+00dB,dual/train/signals/LFM_P3_000_002_+00dB.npy,LFM,P3,1,12,0,0.4125753231507324,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_002_+06dB,dual/train/signals/LFM_P3_000_002_+06dB.npy,LFM,P3,1,12,6,0.4125753231507324,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_002_+12dB,dual/train/signals/LFM_P3_000_002_+12dB.npy,LFM,P3,1,12,12,0.4125753231507324,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_002_+18dB,dual/train/signals/LFM_P3_000_002_+18dB.npy,LFM,P3,1,12,18,0.4125753231507324,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_003_-12dB,dual/train/signals/LFM_P3_000_003_-12dB.npy,LFM,P3,1,12,-12,0.4869359351172313,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
LFM_P3_000_003_-06dB,dual/train/signals/LFM_P3_000_003_-06dB.npy,LFM,P3,1,12,-6,0.4869359351172313,1,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
