signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
LFM_SFM_000_000_-12dB,dual/train/signals/LFM_SFM_000_000_-12dB.npy,LFM,SFM,1,5,-12,0.4129391450143053,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_-06dB,dual/train/signals/LFM_SFM_000_000_-06dB.npy,LFM,SFM,1,5,-6,0.4129391450143053,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_+00dB,dual/train/signals/LFM_SFM_000_000_+00dB.npy,LFM,SFM,1,5,0,0.4129391450143053,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_+06dB,dual/train/signals/LFM_SFM_000_000_+06dB.npy,LFM,SFM,1,5,6,0.4129391450143053,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_+12dB,dual/train/signals/LFM_SFM_000_000_+12dB.npy,LFM,SFM,1,5,12,0.4129391450143053,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_000_+18dB,dual/train/signals/LFM_SFM_000_000_+18dB.npy,LFM,SFM,1,5,18,0.4129391450143053,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_001_-12dB,dual/train/signals/LFM_SFM_000_001_-12dB.npy,LFM,SFM,1,5,-12,0.4032687653423944,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_001_-06dB,dual/train/signals/LFM_SFM_000_001_-06dB.npy,LFM,SFM,1,5,-6,0.4032687653423944,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_001_+00dB,dual/train/signals/LFM_SFM_000_001_+00dB.npy,LFM,SFM,1,5,0,0.4032687653423944,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_001_+06dB,dual/train/signals/LFM_SFM_000_001_+06dB.npy,LFM,SFM,1,5,6,0.4032687653423944,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_001_+12dB,dual/train/signals/LFM_SFM_000_001_+12dB.npy,LFM,SFM,1,5,12,0.4032687653423944,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_001_+18dB,dual/train/signals/LFM_SFM_000_001_+18dB.npy,LFM,SFM,1,5,18,0.4032687653423944,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_002_-12dB,dual/train/signals/LFM_SFM_000_002_-12dB.npy,LFM,SFM,1,5,-12,0.3976072791289514,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_002_-06dB,dual/train/signals/LFM_SFM_000_002_-06dB.npy,LFM,SFM,1,5,-6,0.3976072791289514,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_002_+00dB,dual/train/signals/LFM_SFM_000_002_+00dB.npy,LFM,SFM,1,5,0,0.3976072791289514,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_002_+06dB,dual/train/signals/LFM_SFM_000_002_+06dB.npy,LFM,SFM,1,5,6,0.3976072791289514,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_002_+12dB,dual/train/signals/LFM_SFM_000_002_+12dB.npy,LFM,SFM,1,5,12,0.3976072791289514,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_002_+18dB,dual/train/signals/LFM_SFM_000_002_+18dB.npy,LFM,SFM,1,5,18,0.3976072791289514,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_003_-12dB,dual/train/signals/LFM_SFM_000_003_-12dB.npy,LFM,SFM,1,5,-12,0.42412038728604373,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_003_-06dB,dual/train/signals/LFM_SFM_000_003_-06dB.npy,LFM,SFM,1,5,-6,0.42412038728604373,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_003_+00dB,dual/train/signals/LFM_SFM_000_003_+00dB.npy,LFM,SFM,1,5,0,0.42412038728604373,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_003_+06dB,dual/train/signals/LFM_SFM_000_003_+06dB.npy,LFM,SFM,1,5,6,0.42412038728604373,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_003_+12dB,dual/train/signals/LFM_SFM_000_003_+12dB.npy,LFM,SFM,1,5,12,0.42412038728604373,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_003_+18dB,dual/train/signals/LFM_SFM_000_003_+18dB.npy,LFM,SFM,1,5,18,0.42412038728604373,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_004_-12dB,dual/train/signals/LFM_SFM_000_004_-12dB.npy,LFM,SFM,1,5,-12,0.34865676137158097,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_004_-06dB,dual/train/signals/LFM_SFM_000_004_-06dB.npy,LFM,SFM,1,5,-6,0.34865676137158097,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_004_+00dB,dual/train/signals/LFM_SFM_000_004_+00dB.npy,LFM,SFM,1,5,0,0.34865676137158097,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_004_+06dB,dual/train/signals/LFM_SFM_000_004_+06dB.npy,LFM,SFM,1,5,6,0.34865676137158097,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_004_+12dB,dual/train/signals/LFM_SFM_000_004_+12dB.npy,LFM,SFM,1,5,12,0.34865676137158097,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_004_+18dB,dual/train/signals/LFM_SFM_000_004_+18dB.npy,LFM,SFM,1,5,18,0.34865676137158097,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_005_-12dB,dual/train/signals/LFM_SFM_000_005_-12dB.npy,LFM,SFM,1,5,-12,0.4083050375059587,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_005_-06dB,dual/train/signals/LFM_SFM_000_005_-06dB.npy,LFM,SFM,1,5,-6,0.4083050375059587,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_005_+00dB,dual/train/signals/LFM_SFM_000_005_+00dB.npy,LFM,SFM,1,5,0,0.4083050375059587,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
LFM_SFM_000_005_+06dB,dual/train/signals/LFM_SFM_000_005_+06dB.npy,LFM,SFM,1,5,6,0.4083050375059587,1,0,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
