signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_BFSK_000_000_-12dB,dual/train/signals/MLFM_BFSK_000_000_-12dB.npy,MLFM,BFSK,3,6,-12,0.33766198800791214,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_-06dB,dual/train/signals/MLFM_BFSK_000_000_-06dB.npy,MLFM,BFSK,3,6,-6,0.33766198800791214,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+00dB,dual/train/signals/MLFM_BFSK_000_000_+00dB.npy,MLFM,BFSK,3,6,0,0.33766198800791214,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+06dB,dual/train/signals/MLFM_BFSK_000_000_+06dB.npy,MLFM,BFSK,3,6,6,0.33766198800791214,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+12dB,dual/train/signals/MLFM_BFSK_000_000_+12dB.npy,MLFM,BFSK,3,6,12,0.33766198800791214,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_000_+18dB,dual/train/signals/MLFM_BFSK_000_000_+18dB.npy,MLFM,BFSK,3,6,18,0.33766198800791214,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_-12dB,dual/train/signals/MLFM_BFSK_000_001_-12dB.npy,MLFM,BFSK,3,6,-12,0.4886479900977272,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_-06dB,dual/train/signals/MLFM_BFSK_000_001_-06dB.npy,MLFM,BFSK,3,6,-6,0.4886479900977272,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_+00dB,dual/train/signals/MLFM_BFSK_000_001_+00dB.npy,MLFM,BFSK,3,6,0,0.4886479900977272,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_+06dB,dual/train/signals/MLFM_BFSK_000_001_+06dB.npy,MLFM,BFSK,3,6,6,0.4886479900977272,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_+12dB,dual/train/signals/MLFM_BFSK_000_001_+12dB.npy,MLFM,BFSK,3,6,12,0.4886479900977272,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_001_+18dB,dual/train/signals/MLFM_BFSK_000_001_+18dB.npy,MLFM,BFSK,3,6,18,0.4886479900977272,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_002_-12dB,dual/train/signals/MLFM_BFSK_000_002_-12dB.npy,MLFM,BFSK,3,6,-12,0.4970397128886608,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_002_-06dB,dual/train/signals/MLFM_BFSK_000_002_-06dB.npy,MLFM,BFSK,3,6,-6,0.4970397128886608,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_002_+00dB,dual/train/signals/MLFM_BFSK_000_002_+00dB.npy,MLFM,BFSK,3,6,0,0.4970397128886608,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_002_+06dB,dual/train/signals/MLFM_BFSK_000_002_+06dB.npy,MLFM,BFSK,3,6,6,0.4970397128886608,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_002_+12dB,dual/train/signals/MLFM_BFSK_000_002_+12dB.npy,MLFM,BFSK,3,6,12,0.4970397128886608,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_002_+18dB,dual/train/signals/MLFM_BFSK_000_002_+18dB.npy,MLFM,BFSK,3,6,18,0.4970397128886608,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_003_-12dB,dual/train/signals/MLFM_BFSK_000_003_-12dB.npy,MLFM,BFSK,3,6,-12,0.34888662431581596,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_003_-06dB,dual/train/signals/MLFM_BFSK_000_003_-06dB.npy,MLFM,BFSK,3,6,-6,0.34888662431581596,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_003_+00dB,dual/train/signals/MLFM_BFSK_000_003_+00dB.npy,MLFM,BFSK,3,6,0,0.34888662431581596,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_003_+06dB,dual/train/signals/MLFM_BFSK_000_003_+06dB.npy,MLFM,BFSK,3,6,6,0.34888662431581596,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_003_+12dB,dual/train/signals/MLFM_BFSK_000_003_+12dB.npy,MLFM,BFSK,3,6,12,0.34888662431581596,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_003_+18dB,dual/train/signals/MLFM_BFSK_000_003_+18dB.npy,MLFM,BFSK,3,6,18,0.34888662431581596,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_004_-12dB,dual/train/signals/MLFM_BFSK_000_004_-12dB.npy,MLFM,BFSK,3,6,-12,0.4260844335346964,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_004_-06dB,dual/train/signals/MLFM_BFSK_000_004_-06dB.npy,MLFM,BFSK,3,6,-6,0.4260844335346964,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_004_+00dB,dual/train/signals/MLFM_BFSK_000_004_+00dB.npy,MLFM,BFSK,3,6,0,0.4260844335346964,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_004_+06dB,dual/train/signals/MLFM_BFSK_000_004_+06dB.npy,MLFM,BFSK,3,6,6,0.4260844335346964,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_004_+12dB,dual/train/signals/MLFM_BFSK_000_004_+12dB.npy,MLFM,BFSK,3,6,12,0.4260844335346964,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_004_+18dB,dual/train/signals/MLFM_BFSK_000_004_+18dB.npy,MLFM,BFSK,3,6,18,0.4260844335346964,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_005_-12dB,dual/train/signals/MLFM_BFSK_000_005_-12dB.npy,MLFM,BFSK,3,6,-12,0.49749570803900284,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BFSK_000_005_-06dB,dual/train/signals/MLFM_BFSK_000_005_-06dB.npy,MLFM,BFSK,3,6,-6,0.49749570803900284,1,0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
