signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_BPSK_000_000_-12dB,dual/train/signals/MLFM_BPSK_000_000_-12dB.npy,MLFM,BPSK,3,8,-12,0.25118283192052493,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_-06dB,dual/train/signals/MLFM_BPSK_000_000_-06dB.npy,MLFM,BPSK,3,8,-6,0.25118283192052493,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_+00dB,dual/train/signals/MLFM_BPSK_000_000_+00dB.npy,MLFM,BPSK,3,8,0,0.25118283192052493,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_+06dB,dual/train/signals/MLFM_BPSK_000_000_+06dB.npy,MLFM,BPSK,3,8,6,0.25118283192052493,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_+12dB,dual/train/signals/MLFM_BPSK_000_000_+12dB.npy,MLFM,BPSK,3,8,12,0.25118283192052493,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_000_+18dB,dual/train/signals/MLFM_BPSK_000_000_+18dB.npy,MLFM,BPSK,3,8,18,0.25118283192052493,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_-12dB,dual/train/signals/MLFM_BPSK_000_001_-12dB.npy,MLFM,BPSK,3,8,-12,0.3637005052985945,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_-06dB,dual/train/signals/MLFM_BPSK_000_001_-06dB.npy,MLFM,BPSK,3,8,-6,0.3637005052985945,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_+00dB,dual/train/signals/MLFM_BPSK_000_001_+00dB.npy,MLFM,BPSK,3,8,0,0.3637005052985945,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_+06dB,dual/train/signals/MLFM_BPSK_000_001_+06dB.npy,MLFM,BPSK,3,8,6,0.3637005052985945,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_+12dB,dual/train/signals/MLFM_BPSK_000_001_+12dB.npy,MLFM,BPSK,3,8,12,0.3637005052985945,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_001_+18dB,dual/train/signals/MLFM_BPSK_000_001_+18dB.npy,MLFM,BPSK,3,8,18,0.3637005052985945,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_002_-12dB,dual/train/signals/MLFM_BPSK_000_002_-12dB.npy,MLFM,BPSK,3,8,-12,0.3922971212049309,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_002_-06dB,dual/train/signals/MLFM_BPSK_000_002_-06dB.npy,MLFM,BPSK,3,8,-6,0.3922971212049309,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_002_+00dB,dual/train/signals/MLFM_BPSK_000_002_+00dB.npy,MLFM,BPSK,3,8,0,0.3922971212049309,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_002_+06dB,dual/train/signals/MLFM_BPSK_000_002_+06dB.npy,MLFM,BPSK,3,8,6,0.3922971212049309,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_002_+12dB,dual/train/signals/MLFM_BPSK_000_002_+12dB.npy,MLFM,BPSK,3,8,12,0.3922971212049309,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_002_+18dB,dual/train/signals/MLFM_BPSK_000_002_+18dB.npy,MLFM,BPSK,3,8,18,0.3922971212049309,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_003_-12dB,dual/train/signals/MLFM_BPSK_000_003_-12dB.npy,MLFM,BPSK,3,8,-12,0.36419637866196586,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_003_-06dB,dual/train/signals/MLFM_BPSK_000_003_-06dB.npy,MLFM,BPSK,3,8,-6,0.36419637866196586,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_003_+00dB,dual/train/signals/MLFM_BPSK_000_003_+00dB.npy,MLFM,BPSK,3,8,0,0.36419637866196586,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_003_+06dB,dual/train/signals/MLFM_BPSK_000_003_+06dB.npy,MLFM,BPSK,3,8,6,0.36419637866196586,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_003_+12dB,dual/train/signals/MLFM_BPSK_000_003_+12dB.npy,MLFM,BPSK,3,8,12,0.36419637866196586,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_003_+18dB,dual/train/signals/MLFM_BPSK_000_003_+18dB.npy,MLFM,BPSK,3,8,18,0.36419637866196586,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_004_-12dB,dual/train/signals/MLFM_BPSK_000_004_-12dB.npy,MLFM,BPSK,3,8,-12,0.3226351220399727,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_004_-06dB,dual/train/signals/MLFM_BPSK_000_004_-06dB.npy,MLFM,BPSK,3,8,-6,0.3226351220399727,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_004_+00dB,dual/train/signals/MLFM_BPSK_000_004_+00dB.npy,MLFM,BPSK,3,8,0,0.3226351220399727,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_004_+06dB,dual/train/signals/MLFM_BPSK_000_004_+06dB.npy,MLFM,BPSK,3,8,6,0.3226351220399727,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_004_+12dB,dual/train/signals/MLFM_BPSK_000_004_+12dB.npy,MLFM,BPSK,3,8,12,0.3226351220399727,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_004_+18dB,dual/train/signals/MLFM_BPSK_000_004_+18dB.npy,MLFM,BPSK,3,8,18,0.3226351220399727,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_005_-12dB,dual/train/signals/MLFM_BPSK_000_005_-12dB.npy,MLFM,BPSK,3,8,-12,0.4350185348696688,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_005_-06dB,dual/train/signals/MLFM_BPSK_000_005_-06dB.npy,MLFM,BPSK,3,8,-6,0.4350185348696688,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_005_+00dB,dual/train/signals/MLFM_BPSK_000_005_+00dB.npy,MLFM,BPSK,3,8,0,0.4350185348696688,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_005_+06dB,dual/train/signals/MLFM_BPSK_000_005_+06dB.npy,MLFM,BPSK,3,8,6,0.4350185348696688,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_005_+12dB,dual/train/signals/MLFM_BPSK_000_005_+12dB.npy,MLFM,BPSK,3,8,12,0.4350185348696688,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_005_+18dB,dual/train/signals/MLFM_BPSK_000_005_+18dB.npy,MLFM,BPSK,3,8,18,0.4350185348696688,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_006_-12dB,dual/train/signals/MLFM_BPSK_000_006_-12dB.npy,MLFM,BPSK,3,8,-12,0.40683084514886025,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_006_-06dB,dual/train/signals/MLFM_BPSK_000_006_-06dB.npy,MLFM,BPSK,3,8,-6,0.40683084514886025,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
MLFM_BPSK_000_006_+00dB,dual/train/signals/MLFM_BPSK_000_006_+00dB.npy,MLFM,BPSK,3,8,0,0.40683084514886025,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
