signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_EQFM_000_000_-12dB,dual/train/signals/MLFM_EQFM_000_000_-12dB.npy,MLFM,EQFM,3,4,-12,0.3150789607850683,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_-06dB,dual/train/signals/MLFM_EQFM_000_000_-06dB.npy,MLFM,EQFM,3,4,-6,0.3150789607850683,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_+00dB,dual/train/signals/MLFM_EQFM_000_000_+00dB.npy,MLFM,EQFM,3,4,0,0.3150789607850683,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_+06dB,dual/train/signals/MLFM_EQFM_000_000_+06dB.npy,MLFM,EQFM,3,4,6,0.3150789607850683,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_+12dB,dual/train/signals/MLFM_EQFM_000_000_+12dB.npy,MLFM,EQFM,3,4,12,0.3150789607850683,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_000_+18dB,dual/train/signals/MLFM_EQFM_000_000_+18dB.npy,MLFM,EQFM,3,4,18,0.3150789607850683,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_001_-12dB,dual/train/signals/MLFM_EQFM_000_001_-12dB.npy,MLFM,EQFM,3,4,-12,0.33936518084375517,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_001_-06dB,dual/train/signals/MLFM_EQFM_000_001_-06dB.npy,MLFM,EQFM,3,4,-6,0.33936518084375517,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_001_+00dB,dual/train/signals/MLFM_EQFM_000_001_+00dB.npy,MLFM,EQFM,3,4,0,0.33936518084375517,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_EQFM_000_001_+06dB,dual/train/signals/MLFM_EQFM_000_001_+06dB.npy,MLFM,EQFM,3,4,6,0.33936518084375517,1,0,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
