signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_Frank_000_000_-12dB,dual/train/signals/MLFM_Frank_000_000_-12dB.npy,MLFM,Frank,3,9,-12,0.3966319080075756,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_-06dB,dual/train/signals/MLFM_Frank_000_000_-06dB.npy,MLFM,Frank,3,9,-6,0.3966319080075756,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_+00dB,dual/train/signals/MLFM_Frank_000_000_+00dB.npy,MLFM,Frank,3,9,0,0.3966319080075756,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_+06dB,dual/train/signals/MLFM_Frank_000_000_+06dB.npy,MLFM,Frank,3,9,6,0.3966319080075756,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_+12dB,dual/train/signals/MLFM_Frank_000_000_+12dB.npy,MLFM,Frank,3,9,12,0.3966319080075756,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_000_+18dB,dual/train/signals/MLFM_Frank_000_000_+18dB.npy,MLFM,Frank,3,9,18,0.3966319080075756,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_-12dB,dual/train/signals/MLFM_Frank_000_001_-12dB.npy,MLFM,Frank,3,9,-12,0.4633674353252807,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_-06dB,dual/train/signals/MLFM_Frank_000_001_-06dB.npy,MLFM,Frank,3,9,-6,0.4633674353252807,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_+00dB,dual/train/signals/MLFM_Frank_000_001_+00dB.npy,MLFM,Frank,3,9,0,0.4633674353252807,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_+06dB,dual/train/signals/MLFM_Frank_000_001_+06dB.npy,MLFM,Frank,3,9,6,0.4633674353252807,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_+12dB,dual/train/signals/MLFM_Frank_000_001_+12dB.npy,MLFM,Frank,3,9,12,0.4633674353252807,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_001_+18dB,dual/train/signals/MLFM_Frank_000_001_+18dB.npy,MLFM,Frank,3,9,18,0.4633674353252807,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_-12dB,dual/train/signals/MLFM_Frank_000_002_-12dB.npy,MLFM,Frank,3,9,-12,0.3320787523199006,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_-06dB,dual/train/signals/MLFM_Frank_000_002_-06dB.npy,MLFM,Frank,3,9,-6,0.3320787523199006,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_+00dB,dual/train/signals/MLFM_Frank_000_002_+00dB.npy,MLFM,Frank,3,9,0,0.3320787523199006,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_+06dB,dual/train/signals/MLFM_Frank_000_002_+06dB.npy,MLFM,Frank,3,9,6,0.3320787523199006,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_+12dB,dual/train/signals/MLFM_Frank_000_002_+12dB.npy,MLFM,Frank,3,9,12,0.3320787523199006,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_002_+18dB,dual/train/signals/MLFM_Frank_000_002_+18dB.npy,MLFM,Frank,3,9,18,0.3320787523199006,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_-12dB,dual/train/signals/MLFM_Frank_000_003_-12dB.npy,MLFM,Frank,3,9,-12,0.2575628929713101,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_-06dB,dual/train/signals/MLFM_Frank_000_003_-06dB.npy,MLFM,Frank,3,9,-6,0.2575628929713101,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_+00dB,dual/train/signals/MLFM_Frank_000_003_+00dB.npy,MLFM,Frank,3,9,0,0.2575628929713101,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_+06dB,dual/train/signals/MLFM_Frank_000_003_+06dB.npy,MLFM,Frank,3,9,6,0.2575628929713101,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_+12dB,dual/train/signals/MLFM_Frank_000_003_+12dB.npy,MLFM,Frank,3,9,12,0.2575628929713101,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_003_+18dB,dual/train/signals/MLFM_Frank_000_003_+18dB.npy,MLFM,Frank,3,9,18,0.2575628929713101,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_-12dB,dual/train/signals/MLFM_Frank_000_004_-12dB.npy,MLFM,Frank,3,9,-12,0.2994065650685127,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_-06dB,dual/train/signals/MLFM_Frank_000_004_-06dB.npy,MLFM,Frank,3,9,-6,0.2994065650685127,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_+00dB,dual/train/signals/MLFM_Frank_000_004_+00dB.npy,MLFM,Frank,3,9,0,0.2994065650685127,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_+06dB,dual/train/signals/MLFM_Frank_000_004_+06dB.npy,MLFM,Frank,3,9,6,0.2994065650685127,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_+12dB,dual/train/signals/MLFM_Frank_000_004_+12dB.npy,MLFM,Frank,3,9,12,0.2994065650685127,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_004_+18dB,dual/train/signals/MLFM_Frank_000_004_+18dB.npy,MLFM,Frank,3,9,18,0.2994065650685127,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_-12dB,dual/train/signals/MLFM_Frank_000_005_-12dB.npy,MLFM,Frank,3,9,-12,0.4484825700342945,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_-06dB,dual/train/signals/MLFM_Frank_000_005_-06dB.npy,MLFM,Frank,3,9,-6,0.4484825700342945,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_+00dB,dual/train/signals/MLFM_Frank_000_005_+00dB.npy,MLFM,Frank,3,9,0,0.4484825700342945,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_+06dB,dual/train/signals/MLFM_Frank_000_005_+06dB.npy,MLFM,Frank,3,9,6,0.4484825700342945,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_+12dB,dual/train/signals/MLFM_Frank_000_005_+12dB.npy,MLFM,Frank,3,9,12,0.4484825700342945,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_005_+18dB,dual/train/signals/MLFM_Frank_000_005_+18dB.npy,MLFM,Frank,3,9,18,0.4484825700342945,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_-12dB,dual/train/signals/MLFM_Frank_000_006_-12dB.npy,MLFM,Frank,3,9,-12,0.44689587439849143,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_-06dB,dual/train/signals/MLFM_Frank_000_006_-06dB.npy,MLFM,Frank,3,9,-6,0.44689587439849143,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_+00dB,dual/train/signals/MLFM_Frank_000_006_+00dB.npy,MLFM,Frank,3,9,0,0.44689587439849143,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_+06dB,dual/train/signals/MLFM_Frank_000_006_+06dB.npy,MLFM,Frank,3,9,6,0.44689587439849143,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_+12dB,dual/train/signals/MLFM_Frank_000_006_+12dB.npy,MLFM,Frank,3,9,12,0.44689587439849143,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_006_+18dB,dual/train/signals/MLFM_Frank_000_006_+18dB.npy,MLFM,Frank,3,9,18,0.44689587439849143,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_-12dB,dual/train/signals/MLFM_Frank_000_007_-12dB.npy,MLFM,Frank,3,9,-12,0.35859751823845104,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_-06dB,dual/train/signals/MLFM_Frank_000_007_-06dB.npy,MLFM,Frank,3,9,-6,0.35859751823845104,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_+00dB,dual/train/signals/MLFM_Frank_000_007_+00dB.npy,MLFM,Frank,3,9,0,0.35859751823845104,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_+06dB,dual/train/signals/MLFM_Frank_000_007_+06dB.npy,MLFM,Frank,3,9,6,0.35859751823845104,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_+12dB,dual/train/signals/MLFM_Frank_000_007_+12dB.npy,MLFM,Frank,3,9,12,0.35859751823845104,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_000_007_+18dB,dual/train/signals/MLFM_Frank_000_007_+18dB.npy,MLFM,Frank,3,9,18,0.35859751823845104,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_000_-12dB,dual/train/signals/MLFM_Frank_001_000_-12dB.npy,MLFM,Frank,3,9,-12,0.3899807101025037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_000_-06dB,dual/train/signals/MLFM_Frank_001_000_-06dB.npy,MLFM,Frank,3,9,-6,0.3899807101025037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_000_+00dB,dual/train/signals/MLFM_Frank_001_000_+00dB.npy,MLFM,Frank,3,9,0,0.3899807101025037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_000_+06dB,dual/train/signals/MLFM_Frank_001_000_+06dB.npy,MLFM,Frank,3,9,6,0.3899807101025037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_000_+12dB,dual/train/signals/MLFM_Frank_001_000_+12dB.npy,MLFM,Frank,3,9,12,0.3899807101025037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_000_+18dB,dual/train/signals/MLFM_Frank_001_000_+18dB.npy,MLFM,Frank,3,9,18,0.3899807101025037,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_001_-12dB,dual/train/signals/MLFM_Frank_001_001_-12dB.npy,MLFM,Frank,3,9,-12,0.4746182370040968,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_001_-06dB,dual/train/signals/MLFM_Frank_001_001_-06dB.npy,MLFM,Frank,3,9,-6,0.4746182370040968,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_001_+00dB,dual/train/signals/MLFM_Frank_001_001_+00dB.npy,MLFM,Frank,3,9,0,0.4746182370040968,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_001_+06dB,dual/train/signals/MLFM_Frank_001_001_+06dB.npy,MLFM,Frank,3,9,6,0.4746182370040968,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_001_+12dB,dual/train/signals/MLFM_Frank_001_001_+12dB.npy,MLFM,Frank,3,9,12,0.4746182370040968,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_001_+18dB,dual/train/signals/MLFM_Frank_001_001_+18dB.npy,MLFM,Frank,3,9,18,0.4746182370040968,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
MLFM_Frank_001_002_-12dB,dual/train/signals/MLFM_Frank_001_002_-12dB.npy,MLFM,Frank,3,9,-12,0.45039255552315494,1,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
