signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
MLFM_SFM_000_000_-12dB,dual/train/signals/MLFM_SFM_000_000_-12dB.npy,MLFM,SFM,3,5,-12,0.35002675509096093,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_000_-06dB,dual/train/signals/MLFM_SFM_000_000_-06dB.npy,MLFM,SFM,3,5,-6,0.35002675509096093,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_000_+00dB,dual/train/signals/MLFM_SFM_000_000_+00dB.npy,MLFM,SFM,3,5,0,0.35002675509096093,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_000_+06dB,dual/train/signals/MLFM_SFM_000_000_+06dB.npy,MLFM,SFM,3,5,6,0.35002675509096093,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_000_+12dB,dual/train/signals/MLFM_SFM_000_000_+12dB.npy,MLFM,SFM,3,5,12,0.35002675509096093,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_000_+18dB,dual/train/signals/MLFM_SFM_000_000_+18dB.npy,MLFM,SFM,3,5,18,0.35002675509096093,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_001_-12dB,dual/train/signals/MLFM_SFM_000_001_-12dB.npy,MLFM,SFM,3,5,-12,0.2731488047943402,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_001_-06dB,dual/train/signals/MLFM_SFM_000_001_-06dB.npy,MLFM,SFM,3,5,-6,0.2731488047943402,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_001_+00dB,dual/train/signals/MLFM_SFM_000_001_+00dB.npy,MLFM,SFM,3,5,0,0.2731488047943402,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_001_+06dB,dual/train/signals/MLFM_SFM_000_001_+06dB.npy,MLFM,SFM,3,5,6,0.2731488047943402,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_001_+12dB,dual/train/signals/MLFM_SFM_000_001_+12dB.npy,MLFM,SFM,3,5,12,0.2731488047943402,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_001_+18dB,dual/train/signals/MLFM_SFM_000_001_+18dB.npy,MLFM,SFM,3,5,18,0.2731488047943402,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_002_-12dB,dual/train/signals/MLFM_SFM_000_002_-12dB.npy,MLFM,SFM,3,5,-12,0.3267469049527507,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_002_-06dB,dual/train/signals/MLFM_SFM_000_002_-06dB.npy,MLFM,SFM,3,5,-6,0.3267469049527507,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_002_+00dB,dual/train/signals/MLFM_SFM_000_002_+00dB.npy,MLFM,SFM,3,5,0,0.3267469049527507,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_002_+06dB,dual/train/signals/MLFM_SFM_000_002_+06dB.npy,MLFM,SFM,3,5,6,0.3267469049527507,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_002_+12dB,dual/train/signals/MLFM_SFM_000_002_+12dB.npy,MLFM,SFM,3,5,12,0.3267469049527507,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_002_+18dB,dual/train/signals/MLFM_SFM_000_002_+18dB.npy,MLFM,SFM,3,5,18,0.3267469049527507,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_003_-12dB,dual/train/signals/MLFM_SFM_000_003_-12dB.npy,MLFM,SFM,3,5,-12,0.31045617537557,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_003_-06dB,dual/train/signals/MLFM_SFM_000_003_-06dB.npy,MLFM,SFM,3,5,-6,0.31045617537557,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_003_+00dB,dual/train/signals/MLFM_SFM_000_003_+00dB.npy,MLFM,SFM,3,5,0,0.31045617537557,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_003_+06dB,dual/train/signals/MLFM_SFM_000_003_+06dB.npy,MLFM,SFM,3,5,6,0.31045617537557,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_003_+12dB,dual/train/signals/MLFM_SFM_000_003_+12dB.npy,MLFM,SFM,3,5,12,0.31045617537557,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_003_+18dB,dual/train/signals/MLFM_SFM_000_003_+18dB.npy,MLFM,SFM,3,5,18,0.31045617537557,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_004_-12dB,dual/train/signals/MLFM_SFM_000_004_-12dB.npy,MLFM,SFM,3,5,-12,0.27789281187533577,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
MLFM_SFM_000_004_-06dB,dual/train/signals/MLFM_SFM_000_004_-06dB.npy,MLFM,SFM,3,5,-6,0.27789281187533577,1,0,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
