signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_BFSK_000_000_-12dB,dual/train/signals/NM_BFSK_000_000_-12dB.npy,NM,BFSK,0,6,-12,0.48864418010144517,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_-06dB,dual/train/signals/NM_BFSK_000_000_-06dB.npy,NM,BFSK,0,6,-6,0.48864418010144517,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+00dB,dual/train/signals/NM_BFSK_000_000_+00dB.npy,NM,BFSK,0,6,0,0.48864418010144517,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+06dB,dual/train/signals/NM_BFSK_000_000_+06dB.npy,NM,BFSK,0,6,6,0.48864418010144517,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+12dB,dual/train/signals/NM_BFSK_000_000_+12dB.npy,NM,BFSK,0,6,12,0.48864418010144517,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_000_+18dB,dual/train/signals/NM_BFSK_000_000_+18dB.npy,NM,BFSK,0,6,18,0.48864418010144517,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-12dB,dual/train/signals/NM_BFSK_000_001_-12dB.npy,NM,BFSK,0,6,-12,0.34096398671020767,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_-06dB,dual/train/signals/NM_BFSK_000_001_-06dB.npy,NM,BFSK,0,6,-6,0.34096398671020767,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+00dB,dual/train/signals/NM_BFSK_000_001_+00dB.npy,NM,BFSK,0,6,0,0.34096398671020767,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+06dB,dual/train/signals/NM_BFSK_000_001_+06dB.npy,NM,BFSK,0,6,6,0.34096398671020767,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+12dB,dual/train/signals/NM_BFSK_000_001_+12dB.npy,NM,BFSK,0,6,12,0.34096398671020767,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_001_+18dB,dual/train/signals/NM_BFSK_000_001_+18dB.npy,NM,BFSK,0,6,18,0.34096398671020767,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_-12dB,dual/train/signals/NM_BFSK_000_002_-12dB.npy,NM,BFSK,0,6,-12,0.3988097727431923,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_-06dB,dual/train/signals/NM_BFSK_000_002_-06dB.npy,NM,BFSK,0,6,-6,0.3988097727431923,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_BFSK_000_002_+00dB,dual/train/signals/NM_BFSK_000_002_+00dB.npy,NM,BFSK,0,6,0,0.3988097727431923,1,0,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
