signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_DLFM_000_000_-12dB,dual/train/signals/NM_DLFM_000_000_-12dB.npy,NM,DLFM,0,2,-12,0.4888940766800154,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_-06dB,dual/train/signals/NM_DLFM_000_000_-06dB.npy,NM,DLFM,0,2,-6,0.4888940766800154,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_+00dB,dual/train/signals/NM_DLFM_000_000_+00dB.npy,NM,DLFM,0,2,0,0.4888940766800154,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_+06dB,dual/train/signals/NM_DLFM_000_000_+06dB.npy,NM,DLFM,0,2,6,0.4888940766800154,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_+12dB,dual/train/signals/NM_DLFM_000_000_+12dB.npy,NM,DLFM,0,2,12,0.4888940766800154,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_000_+18dB,dual/train/signals/NM_DLFM_000_000_+18dB.npy,NM,DLFM,0,2,18,0.4888940766800154,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_001_-12dB,dual/train/signals/NM_DLFM_000_001_-12dB.npy,NM,DLFM,0,2,-12,0.35944163097959625,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_001_-06dB,dual/train/signals/NM_DLFM_000_001_-06dB.npy,NM,DLFM,0,2,-6,0.35944163097959625,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_001_+00dB,dual/train/signals/NM_DLFM_000_001_+00dB.npy,NM,DLFM,0,2,0,0.35944163097959625,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_001_+06dB,dual/train/signals/NM_DLFM_000_001_+06dB.npy,NM,DLFM,0,2,6,0.35944163097959625,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_001_+12dB,dual/train/signals/NM_DLFM_000_001_+12dB.npy,NM,DLFM,0,2,12,0.35944163097959625,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_001_+18dB,dual/train/signals/NM_DLFM_000_001_+18dB.npy,NM,DLFM,0,2,18,0.35944163097959625,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_002_-12dB,dual/train/signals/NM_DLFM_000_002_-12dB.npy,NM,DLFM,0,2,-12,0.26719017685531393,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_002_-06dB,dual/train/signals/NM_DLFM_000_002_-06dB.npy,NM,DLFM,0,2,-6,0.26719017685531393,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_002_+00dB,dual/train/signals/NM_DLFM_000_002_+00dB.npy,NM,DLFM,0,2,0,0.26719017685531393,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_002_+06dB,dual/train/signals/NM_DLFM_000_002_+06dB.npy,NM,DLFM,0,2,6,0.26719017685531393,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_002_+12dB,dual/train/signals/NM_DLFM_000_002_+12dB.npy,NM,DLFM,0,2,12,0.26719017685531393,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_002_+18dB,dual/train/signals/NM_DLFM_000_002_+18dB.npy,NM,DLFM,0,2,18,0.26719017685531393,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_003_-12dB,dual/train/signals/NM_DLFM_000_003_-12dB.npy,NM,DLFM,0,2,-12,0.4416276862085802,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_003_-06dB,dual/train/signals/NM_DLFM_000_003_-06dB.npy,NM,DLFM,0,2,-6,0.4416276862085802,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_003_+00dB,dual/train/signals/NM_DLFM_000_003_+00dB.npy,NM,DLFM,0,2,0,0.4416276862085802,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_003_+06dB,dual/train/signals/NM_DLFM_000_003_+06dB.npy,NM,DLFM,0,2,6,0.4416276862085802,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_003_+12dB,dual/train/signals/NM_DLFM_000_003_+12dB.npy,NM,DLFM,0,2,12,0.4416276862085802,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_003_+18dB,dual/train/signals/NM_DLFM_000_003_+18dB.npy,NM,DLFM,0,2,18,0.4416276862085802,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_004_-12dB,dual/train/signals/NM_DLFM_000_004_-12dB.npy,NM,DLFM,0,2,-12,0.4823684266048892,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_004_-06dB,dual/train/signals/NM_DLFM_000_004_-06dB.npy,NM,DLFM,0,2,-6,0.4823684266048892,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_004_+00dB,dual/train/signals/NM_DLFM_000_004_+00dB.npy,NM,DLFM,0,2,0,0.4823684266048892,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_004_+06dB,dual/train/signals/NM_DLFM_000_004_+06dB.npy,NM,DLFM,0,2,6,0.4823684266048892,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_004_+12dB,dual/train/signals/NM_DLFM_000_004_+12dB.npy,NM,DLFM,0,2,12,0.4823684266048892,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_004_+18dB,dual/train/signals/NM_DLFM_000_004_+18dB.npy,NM,DLFM,0,2,18,0.4823684266048892,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_005_-12dB,dual/train/signals/NM_DLFM_000_005_-12dB.npy,NM,DLFM,0,2,-12,0.45810945458554997,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_005_-06dB,dual/train/signals/NM_DLFM_000_005_-06dB.npy,NM,DLFM,0,2,-6,0.45810945458554997,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_005_+00dB,dual/train/signals/NM_DLFM_000_005_+00dB.npy,NM,DLFM,0,2,0,0.45810945458554997,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_005_+06dB,dual/train/signals/NM_DLFM_000_005_+06dB.npy,NM,DLFM,0,2,6,0.45810945458554997,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_005_+12dB,dual/train/signals/NM_DLFM_000_005_+12dB.npy,NM,DLFM,0,2,12,0.45810945458554997,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_005_+18dB,dual/train/signals/NM_DLFM_000_005_+18dB.npy,NM,DLFM,0,2,18,0.45810945458554997,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_006_-12dB,dual/train/signals/NM_DLFM_000_006_-12dB.npy,NM,DLFM,0,2,-12,0.4753710655503993,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_006_-06dB,dual/train/signals/NM_DLFM_000_006_-06dB.npy,NM,DLFM,0,2,-6,0.4753710655503993,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_006_+00dB,dual/train/signals/NM_DLFM_000_006_+00dB.npy,NM,DLFM,0,2,0,0.4753710655503993,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_006_+06dB,dual/train/signals/NM_DLFM_000_006_+06dB.npy,NM,DLFM,0,2,6,0.4753710655503993,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_DLFM_000_006_+12dB,dual/train/signals/NM_DLFM_000_006_+12dB.npy,NM,DLFM,0,2,12,0.4753710655503993,1,0,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
