signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_EQFM_000_000_-12dB,dual/train/signals/NM_EQFM_000_000_-12dB.npy,NM,EQFM,0,4,-12,0.30088103752208994,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_-06dB,dual/train/signals/NM_EQFM_000_000_-06dB.npy,NM,EQFM,0,4,-6,0.30088103752208994,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_+00dB,dual/train/signals/NM_EQFM_000_000_+00dB.npy,NM,EQFM,0,4,0,0.30088103752208994,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_+06dB,dual/train/signals/NM_EQFM_000_000_+06dB.npy,NM,EQFM,0,4,6,0.30088103752208994,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_+12dB,dual/train/signals/NM_EQFM_000_000_+12dB.npy,NM,EQFM,0,4,12,0.30088103752208994,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_000_+18dB,dual/train/signals/NM_EQFM_000_000_+18dB.npy,NM,EQFM,0,4,18,0.30088103752208994,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_-12dB,dual/train/signals/NM_EQFM_000_001_-12dB.npy,NM,EQFM,0,4,-12,0.29969666595387867,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_-06dB,dual/train/signals/NM_EQFM_000_001_-06dB.npy,NM,EQFM,0,4,-6,0.29969666595387867,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_+00dB,dual/train/signals/NM_EQFM_000_001_+00dB.npy,NM,EQFM,0,4,0,0.29969666595387867,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_+06dB,dual/train/signals/NM_EQFM_000_001_+06dB.npy,NM,EQFM,0,4,6,0.29969666595387867,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_+12dB,dual/train/signals/NM_EQFM_000_001_+12dB.npy,NM,EQFM,0,4,12,0.29969666595387867,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_001_+18dB,dual/train/signals/NM_EQFM_000_001_+18dB.npy,NM,EQFM,0,4,18,0.29969666595387867,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_002_-12dB,dual/train/signals/NM_EQFM_000_002_-12dB.npy,NM,EQFM,0,4,-12,0.4090219226029874,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_002_-06dB,dual/train/signals/NM_EQFM_000_002_-06dB.npy,NM,EQFM,0,4,-6,0.4090219226029874,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_002_+00dB,dual/train/signals/NM_EQFM_000_002_+00dB.npy,NM,EQFM,0,4,0,0.4090219226029874,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_002_+06dB,dual/train/signals/NM_EQFM_000_002_+06dB.npy,NM,EQFM,0,4,6,0.4090219226029874,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_002_+12dB,dual/train/signals/NM_EQFM_000_002_+12dB.npy,NM,EQFM,0,4,12,0.4090219226029874,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_002_+18dB,dual/train/signals/NM_EQFM_000_002_+18dB.npy,NM,EQFM,0,4,18,0.4090219226029874,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_003_-12dB,dual/train/signals/NM_EQFM_000_003_-12dB.npy,NM,EQFM,0,4,-12,0.40303021645624415,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_EQFM_000_003_-06dB,dual/train/signals/NM_EQFM_000_003_-06dB.npy,NM,EQFM,0,4,-6,0.40303021645624415,1,0,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
