signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_Frank_000_000_-12dB,dual/train/signals/NM_Frank_000_000_-12dB.npy,NM,Frank,0,9,-12,0.47601905852717696,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_-06dB,dual/train/signals/NM_Frank_000_000_-06dB.npy,NM,Frank,0,9,-6,0.47601905852717696,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_+00dB,dual/train/signals/NM_Frank_000_000_+00dB.npy,NM,Frank,0,9,0,0.47601905852717696,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_+06dB,dual/train/signals/NM_Frank_000_000_+06dB.npy,NM,Frank,0,9,6,0.47601905852717696,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_+12dB,dual/train/signals/NM_Frank_000_000_+12dB.npy,NM,Frank,0,9,12,0.47601905852717696,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_000_+18dB,dual/train/signals/NM_Frank_000_000_+18dB.npy,NM,Frank,0,9,18,0.47601905852717696,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_-12dB,dual/train/signals/NM_Frank_000_001_-12dB.npy,NM,Frank,0,9,-12,0.31403981975372497,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_-06dB,dual/train/signals/NM_Frank_000_001_-06dB.npy,NM,Frank,0,9,-6,0.31403981975372497,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_+00dB,dual/train/signals/NM_Frank_000_001_+00dB.npy,NM,Frank,0,9,0,0.31403981975372497,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_+06dB,dual/train/signals/NM_Frank_000_001_+06dB.npy,NM,Frank,0,9,6,0.31403981975372497,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_+12dB,dual/train/signals/NM_Frank_000_001_+12dB.npy,NM,Frank,0,9,12,0.31403981975372497,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_001_+18dB,dual/train/signals/NM_Frank_000_001_+18dB.npy,NM,Frank,0,9,18,0.31403981975372497,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_-12dB,dual/train/signals/NM_Frank_000_002_-12dB.npy,NM,Frank,0,9,-12,0.47207320648612316,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_-06dB,dual/train/signals/NM_Frank_000_002_-06dB.npy,NM,Frank,0,9,-6,0.47207320648612316,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_+00dB,dual/train/signals/NM_Frank_000_002_+00dB.npy,NM,Frank,0,9,0,0.47207320648612316,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_+06dB,dual/train/signals/NM_Frank_000_002_+06dB.npy,NM,Frank,0,9,6,0.47207320648612316,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_+12dB,dual/train/signals/NM_Frank_000_002_+12dB.npy,NM,Frank,0,9,12,0.47207320648612316,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_002_+18dB,dual/train/signals/NM_Frank_000_002_+18dB.npy,NM,Frank,0,9,18,0.47207320648612316,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_003_-12dB,dual/train/signals/NM_Frank_000_003_-12dB.npy,NM,Frank,0,9,-12,0.2828000035297349,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_003_-06dB,dual/train/signals/NM_Frank_000_003_-06dB.npy,NM,Frank,0,9,-6,0.2828000035297349,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_003_+00dB,dual/train/signals/NM_Frank_000_003_+00dB.npy,NM,Frank,0,9,0,0.2828000035297349,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_003_+06dB,dual/train/signals/NM_Frank_000_003_+06dB.npy,NM,Frank,0,9,6,0.2828000035297349,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_003_+12dB,dual/train/signals/NM_Frank_000_003_+12dB.npy,NM,Frank,0,9,12,0.2828000035297349,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_003_+18dB,dual/train/signals/NM_Frank_000_003_+18dB.npy,NM,Frank,0,9,18,0.2828000035297349,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_004_-12dB,dual/train/signals/NM_Frank_000_004_-12dB.npy,NM,Frank,0,9,-12,0.45733171919384263,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_004_-06dB,dual/train/signals/NM_Frank_000_004_-06dB.npy,NM,Frank,0,9,-6,0.45733171919384263,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_004_+00dB,dual/train/signals/NM_Frank_000_004_+00dB.npy,NM,Frank,0,9,0,0.45733171919384263,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_004_+06dB,dual/train/signals/NM_Frank_000_004_+06dB.npy,NM,Frank,0,9,6,0.45733171919384263,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_004_+12dB,dual/train/signals/NM_Frank_000_004_+12dB.npy,NM,Frank,0,9,12,0.45733171919384263,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_004_+18dB,dual/train/signals/NM_Frank_000_004_+18dB.npy,NM,Frank,0,9,18,0.45733171919384263,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_005_-12dB,dual/train/signals/NM_Frank_000_005_-12dB.npy,NM,Frank,0,9,-12,0.44449632831955677,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_005_-06dB,dual/train/signals/NM_Frank_000_005_-06dB.npy,NM,Frank,0,9,-6,0.44449632831955677,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_005_+00dB,dual/train/signals/NM_Frank_000_005_+00dB.npy,NM,Frank,0,9,0,0.44449632831955677,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_005_+06dB,dual/train/signals/NM_Frank_000_005_+06dB.npy,NM,Frank,0,9,6,0.44449632831955677,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_005_+12dB,dual/train/signals/NM_Frank_000_005_+12dB.npy,NM,Frank,0,9,12,0.44449632831955677,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_005_+18dB,dual/train/signals/NM_Frank_000_005_+18dB.npy,NM,Frank,0,9,18,0.44449632831955677,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_006_-12dB,dual/train/signals/NM_Frank_000_006_-12dB.npy,NM,Frank,0,9,-12,0.4566556005900501,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_006_-06dB,dual/train/signals/NM_Frank_000_006_-06dB.npy,NM,Frank,0,9,-6,0.4566556005900501,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_006_+00dB,dual/train/signals/NM_Frank_000_006_+00dB.npy,NM,Frank,0,9,0,0.4566556005900501,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_006_+06dB,dual/train/signals/NM_Frank_000_006_+06dB.npy,NM,Frank,0,9,6,0.4566556005900501,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_006_+12dB,dual/train/signals/NM_Frank_000_006_+12dB.npy,NM,Frank,0,9,12,0.4566556005900501,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_006_+18dB,dual/train/signals/NM_Frank_000_006_+18dB.npy,NM,Frank,0,9,18,0.4566556005900501,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_007_-12dB,dual/train/signals/NM_Frank_000_007_-12dB.npy,NM,Frank,0,9,-12,0.3631751914958418,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
NM_Frank_000_007_-06dB,dual/train/signals/NM_Frank_000_007_-06dB.npy,NM,Frank,0,9,-6,0.3631751914958418,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]"
