signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_LFM_BPSK_000_000_-12dB,dual/train/signals/NM_LFM_BPSK_000_000_-12dB.npy,NM,LFM_BPSK,0,14,-12,0.4428483901442843,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
NM_LFM_BPSK_000_000_-06dB,dual/train/signals/NM_LFM_BPSK_000_000_-06dB.npy,NM,LFM_BPSK,0,14,-6,0.4428483901442843,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
NM_LFM_BPSK_000_000_+00dB,dual/train/signals/NM_LFM_BPSK_000_000_+00dB.npy,NM,LFM_BPSK,0,14,0,0.4428483901442843,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
NM_LFM_BPSK_000_000_+06dB,dual/train/signals/NM_LFM_BPSK_000_000_+06dB.npy,NM,LFM_BPSK,0,14,6,0.4428483901442843,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
NM_LFM_BPSK_000_000_+12dB,dual/train/signals/NM_LFM_BPSK_000_000_+12dB.npy,NM,LFM_BPSK,0,14,12,0.4428483901442843,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
NM_LFM_BPSK_000_000_+18dB,dual/train/signals/NM_LFM_BPSK_000_000_+18dB.npy,NM,LFM_BPSK,0,14,18,0.4428483901442843,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
NM_LFM_BPSK_000_001_-12dB,dual/train/signals/NM_LFM_BPSK_000_001_-12dB.npy,NM,LFM_BPSK,0,14,-12,0.48180369038830895,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
NM_LFM_BPSK_000_001_-06dB,dual/train/signals/NM_LFM_BPSK_000_001_-06dB.npy,NM,LFM_BPSK,0,14,-6,0.48180369038830895,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
NM_LFM_BPSK_000_001_+00dB,dual/train/signals/NM_LFM_BPSK_000_001_+00dB.npy,NM,LFM_BPSK,0,14,0,0.48180369038830895,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
NM_LFM_BPSK_000_001_+06dB,dual/train/signals/NM_LFM_BPSK_000_001_+06dB.npy,NM,LFM_BPSK,0,14,6,0.48180369038830895,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
NM_LFM_BPSK_000_001_+12dB,dual/train/signals/NM_LFM_BPSK_000_001_+12dB.npy,NM,LFM_BPSK,0,14,12,0.48180369038830895,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
NM_LFM_BPSK_000_001_+18dB,dual/train/signals/NM_LFM_BPSK_000_001_+18dB.npy,NM,LFM_BPSK,0,14,18,0.48180369038830895,1,0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]"
