signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
NM_LFM_000_000_-12dB,dual/train/signals/NM_LFM_000_000_-12dB.npy,NM,LFM,0,1,-12,0.3403333174800955,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_-06dB,dual/train/signals/NM_LFM_000_000_-06dB.npy,NM,LFM,0,1,-6,0.3403333174800955,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_+00dB,dual/train/signals/NM_LFM_000_000_+00dB.npy,NM,LFM,0,1,0,0.3403333174800955,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_+06dB,dual/train/signals/NM_LFM_000_000_+06dB.npy,NM,LFM,0,1,6,0.3403333174800955,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_+12dB,dual/train/signals/NM_LFM_000_000_+12dB.npy,NM,LFM,0,1,12,0.3403333174800955,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_000_+18dB,dual/train/signals/NM_LFM_000_000_+18dB.npy,NM,LFM,0,1,18,0.3403333174800955,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_-12dB,dual/train/signals/NM_LFM_000_001_-12dB.npy,NM,LFM,0,1,-12,0.34218341073895947,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_-06dB,dual/train/signals/NM_LFM_000_001_-06dB.npy,NM,LFM,0,1,-6,0.34218341073895947,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_+00dB,dual/train/signals/NM_LFM_000_001_+00dB.npy,NM,LFM,0,1,0,0.34218341073895947,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_+06dB,dual/train/signals/NM_LFM_000_001_+06dB.npy,NM,LFM,0,1,6,0.34218341073895947,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_+12dB,dual/train/signals/NM_LFM_000_001_+12dB.npy,NM,LFM,0,1,12,0.34218341073895947,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_001_+18dB,dual/train/signals/NM_LFM_000_001_+18dB.npy,NM,LFM,0,1,18,0.34218341073895947,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_-12dB,dual/train/signals/NM_LFM_000_002_-12dB.npy,NM,LFM,0,1,-12,0.41487493105682405,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
NM_LFM_000_002_-06dB,dual/train/signals/NM_LFM_000_002_-06dB.npy,NM,LFM,0,1,-6,0.41487493105682405,1,0,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
