signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
P1_LFM_BPSK_000_000_-12dB,dual/train/signals/P1_LFM_BPSK_000_000_-12dB.npy,P1,LFM_BPSK,10,14,-12,0.36177917185114383,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_000_-06dB,dual/train/signals/P1_LFM_BPSK_000_000_-06dB.npy,P1,LFM_BPSK,10,14,-6,0.36177917185114383,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_000_+00dB,dual/train/signals/P1_LFM_BPSK_000_000_+00dB.npy,P1,LFM_BPSK,10,14,0,0.36177917185114383,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_000_+06dB,dual/train/signals/P1_LFM_BPSK_000_000_+06dB.npy,P1,LFM_BPSK,10,14,6,0.36177917185114383,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_000_+12dB,dual/train/signals/P1_LFM_BPSK_000_000_+12dB.npy,P1,LFM_BPSK,10,14,12,0.36177917185114383,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_000_+18dB,dual/train/signals/P1_LFM_BPSK_000_000_+18dB.npy,P1,LFM_BPSK,10,14,18,0.36177917185114383,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_001_-12dB,dual/train/signals/P1_LFM_BPSK_000_001_-12dB.npy,P1,LFM_BPSK,10,14,-12,0.31162927240140215,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_001_-06dB,dual/train/signals/P1_LFM_BPSK_000_001_-06dB.npy,P1,LFM_BPSK,10,14,-6,0.31162927240140215,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_001_+00dB,dual/train/signals/P1_LFM_BPSK_000_001_+00dB.npy,P1,LFM_BPSK,10,14,0,0.31162927240140215,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_001_+06dB,dual/train/signals/P1_LFM_BPSK_000_001_+06dB.npy,P1,LFM_BPSK,10,14,6,0.31162927240140215,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_001_+12dB,dual/train/signals/P1_LFM_BPSK_000_001_+12dB.npy,P1,LFM_BPSK,10,14,12,0.31162927240140215,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_001_+18dB,dual/train/signals/P1_LFM_BPSK_000_001_+18dB.npy,P1,LFM_BPSK,10,14,18,0.31162927240140215,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_002_-12dB,dual/train/signals/P1_LFM_BPSK_000_002_-12dB.npy,P1,LFM_BPSK,10,14,-12,0.3889865504806518,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_002_-06dB,dual/train/signals/P1_LFM_BPSK_000_002_-06dB.npy,P1,LFM_BPSK,10,14,-6,0.3889865504806518,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_002_+00dB,dual/train/signals/P1_LFM_BPSK_000_002_+00dB.npy,P1,LFM_BPSK,10,14,0,0.3889865504806518,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_002_+06dB,dual/train/signals/P1_LFM_BPSK_000_002_+06dB.npy,P1,LFM_BPSK,10,14,6,0.3889865504806518,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_002_+12dB,dual/train/signals/P1_LFM_BPSK_000_002_+12dB.npy,P1,LFM_BPSK,10,14,12,0.3889865504806518,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_002_+18dB,dual/train/signals/P1_LFM_BPSK_000_002_+18dB.npy,P1,LFM_BPSK,10,14,18,0.3889865504806518,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_003_-12dB,dual/train/signals/P1_LFM_BPSK_000_003_-12dB.npy,P1,LFM_BPSK,10,14,-12,0.44264551601019975,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_003_-06dB,dual/train/signals/P1_LFM_BPSK_000_003_-06dB.npy,P1,LFM_BPSK,10,14,-6,0.44264551601019975,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_003_+00dB,dual/train/signals/P1_LFM_BPSK_000_003_+00dB.npy,P1,LFM_BPSK,10,14,0,0.44264551601019975,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_003_+06dB,dual/train/signals/P1_LFM_BPSK_000_003_+06dB.npy,P1,LFM_BPSK,10,14,6,0.44264551601019975,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_003_+12dB,dual/train/signals/P1_LFM_BPSK_000_003_+12dB.npy,P1,LFM_BPSK,10,14,12,0.44264551601019975,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_003_+18dB,dual/train/signals/P1_LFM_BPSK_000_003_+18dB.npy,P1,LFM_BPSK,10,14,18,0.44264551601019975,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_004_-12dB,dual/train/signals/P1_LFM_BPSK_000_004_-12dB.npy,P1,LFM_BPSK,10,14,-12,0.4160023807095722,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_004_-06dB,dual/train/signals/P1_LFM_BPSK_000_004_-06dB.npy,P1,LFM_BPSK,10,14,-6,0.4160023807095722,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_004_+00dB,dual/train/signals/P1_LFM_BPSK_000_004_+00dB.npy,P1,LFM_BPSK,10,14,0,0.4160023807095722,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_004_+06dB,dual/train/signals/P1_LFM_BPSK_000_004_+06dB.npy,P1,LFM_BPSK,10,14,6,0.4160023807095722,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_004_+12dB,dual/train/signals/P1_LFM_BPSK_000_004_+12dB.npy,P1,LFM_BPSK,10,14,12,0.4160023807095722,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_004_+18dB,dual/train/signals/P1_LFM_BPSK_000_004_+18dB.npy,P1,LFM_BPSK,10,14,18,0.4160023807095722,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_005_-12dB,dual/train/signals/P1_LFM_BPSK_000_005_-12dB.npy,P1,LFM_BPSK,10,14,-12,0.393702514521326,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_005_-06dB,dual/train/signals/P1_LFM_BPSK_000_005_-06dB.npy,P1,LFM_BPSK,10,14,-6,0.393702514521326,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_005_+00dB,dual/train/signals/P1_LFM_BPSK_000_005_+00dB.npy,P1,LFM_BPSK,10,14,0,0.393702514521326,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_005_+06dB,dual/train/signals/P1_LFM_BPSK_000_005_+06dB.npy,P1,LFM_BPSK,10,14,6,0.393702514521326,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_005_+12dB,dual/train/signals/P1_LFM_BPSK_000_005_+12dB.npy,P1,LFM_BPSK,10,14,12,0.393702514521326,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_005_+18dB,dual/train/signals/P1_LFM_BPSK_000_005_+18dB.npy,P1,LFM_BPSK,10,14,18,0.393702514521326,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_006_-12dB,dual/train/signals/P1_LFM_BPSK_000_006_-12dB.npy,P1,LFM_BPSK,10,14,-12,0.290223931539522,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_006_-06dB,dual/train/signals/P1_LFM_BPSK_000_006_-06dB.npy,P1,LFM_BPSK,10,14,-6,0.290223931539522,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
P1_LFM_BPSK_000_006_+00dB,dual/train/signals/P1_LFM_BPSK_000_006_+00dB.npy,P1,LFM_BPSK,10,14,0,0.290223931539522,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]"
