signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
P4_P4_000_000_-12dB,dual/train/signals/P4_P4_000_000_-12dB.npy,P4,P4,13,13,-12,0.3436139972174786,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_000_-06dB,dual/train/signals/P4_P4_000_000_-06dB.npy,P4,P4,13,13,-6,0.3436139972174786,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_000_+00dB,dual/train/signals/P4_P4_000_000_+00dB.npy,P4,P4,13,13,0,0.3436139972174786,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_000_+06dB,dual/train/signals/P4_P4_000_000_+06dB.npy,P4,P4,13,13,6,0.3436139972174786,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_000_+12dB,dual/train/signals/P4_P4_000_000_+12dB.npy,P4,P4,13,13,12,0.3436139972174786,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_000_+18dB,dual/train/signals/P4_P4_000_000_+18dB.npy,P4,P4,13,13,18,0.3436139972174786,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_001_-12dB,dual/train/signals/P4_P4_000_001_-12dB.npy,P4,P4,13,13,-12,0.28979933623839627,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_001_-06dB,dual/train/signals/P4_P4_000_001_-06dB.npy,P4,P4,13,13,-6,0.28979933623839627,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_001_+00dB,dual/train/signals/P4_P4_000_001_+00dB.npy,P4,P4,13,13,0,0.28979933623839627,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_001_+06dB,dual/train/signals/P4_P4_000_001_+06dB.npy,P4,P4,13,13,6,0.28979933623839627,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_001_+12dB,dual/train/signals/P4_P4_000_001_+12dB.npy,P4,P4,13,13,12,0.28979933623839627,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_001_+18dB,dual/train/signals/P4_P4_000_001_+18dB.npy,P4,P4,13,13,18,0.28979933623839627,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_002_-12dB,dual/train/signals/P4_P4_000_002_-12dB.npy,P4,P4,13,13,-12,0.42259471987396063,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_002_-06dB,dual/train/signals/P4_P4_000_002_-06dB.npy,P4,P4,13,13,-6,0.42259471987396063,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_002_+00dB,dual/train/signals/P4_P4_000_002_+00dB.npy,P4,P4,13,13,0,0.42259471987396063,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_002_+06dB,dual/train/signals/P4_P4_000_002_+06dB.npy,P4,P4,13,13,6,0.42259471987396063,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_002_+12dB,dual/train/signals/P4_P4_000_002_+12dB.npy,P4,P4,13,13,12,0.42259471987396063,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_002_+18dB,dual/train/signals/P4_P4_000_002_+18dB.npy,P4,P4,13,13,18,0.42259471987396063,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_003_-12dB,dual/train/signals/P4_P4_000_003_-12dB.npy,P4,P4,13,13,-12,0.4805982724597378,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_003_-06dB,dual/train/signals/P4_P4_000_003_-06dB.npy,P4,P4,13,13,-6,0.4805982724597378,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_003_+00dB,dual/train/signals/P4_P4_000_003_+00dB.npy,P4,P4,13,13,0,0.4805982724597378,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_003_+06dB,dual/train/signals/P4_P4_000_003_+06dB.npy,P4,P4,13,13,6,0.4805982724597378,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_003_+12dB,dual/train/signals/P4_P4_000_003_+12dB.npy,P4,P4,13,13,12,0.4805982724597378,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_003_+18dB,dual/train/signals/P4_P4_000_003_+18dB.npy,P4,P4,13,13,18,0.4805982724597378,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_004_-12dB,dual/train/signals/P4_P4_000_004_-12dB.npy,P4,P4,13,13,-12,0.2615573377172571,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
P4_P4_000_004_-06dB,dual/train/signals/P4_P4_000_004_-06dB.npy,P4,P4,13,13,-6,0.2615573377172571,1,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
