signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
QFSK_Frank_000_000_-12dB,dual/train/signals/QFSK_Frank_000_000_-12dB.npy,QFSK,Frank,7,9,-12,0.2565009034435,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_-06dB,dual/train/signals/QFSK_Frank_000_000_-06dB.npy,QFSK,Frank,7,9,-6,0.2565009034435,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_+00dB,dual/train/signals/QFSK_Frank_000_000_+00dB.npy,QFSK,Frank,7,9,0,0.2565009034435,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_+06dB,dual/train/signals/QFSK_Frank_000_000_+06dB.npy,QFSK,Frank,7,9,6,0.2565009034435,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_+12dB,dual/train/signals/QFSK_Frank_000_000_+12dB.npy,QFSK,Frank,7,9,12,0.2565009034435,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_000_+18dB,dual/train/signals/QFSK_Frank_000_000_+18dB.npy,QFSK,Frank,7,9,18,0.2565009034435,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_-12dB,dual/train/signals/QFSK_Frank_000_001_-12dB.npy,QFSK,Frank,7,9,-12,0.438385341483156,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_-06dB,dual/train/signals/QFSK_Frank_000_001_-06dB.npy,QFSK,Frank,7,9,-6,0.438385341483156,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_+00dB,dual/train/signals/QFSK_Frank_000_001_+00dB.npy,QFSK,Frank,7,9,0,0.438385341483156,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_+06dB,dual/train/signals/QFSK_Frank_000_001_+06dB.npy,QFSK,Frank,7,9,6,0.438385341483156,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_+12dB,dual/train/signals/QFSK_Frank_000_001_+12dB.npy,QFSK,Frank,7,9,12,0.438385341483156,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_001_+18dB,dual/train/signals/QFSK_Frank_000_001_+18dB.npy,QFSK,Frank,7,9,18,0.438385341483156,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_002_-12dB,dual/train/signals/QFSK_Frank_000_002_-12dB.npy,QFSK,Frank,7,9,-12,0.3052035190645167,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_002_-06dB,dual/train/signals/QFSK_Frank_000_002_-06dB.npy,QFSK,Frank,7,9,-6,0.3052035190645167,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_002_+00dB,dual/train/signals/QFSK_Frank_000_002_+00dB.npy,QFSK,Frank,7,9,0,0.3052035190645167,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_002_+06dB,dual/train/signals/QFSK_Frank_000_002_+06dB.npy,QFSK,Frank,7,9,6,0.3052035190645167,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_002_+12dB,dual/train/signals/QFSK_Frank_000_002_+12dB.npy,QFSK,Frank,7,9,12,0.3052035190645167,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_002_+18dB,dual/train/signals/QFSK_Frank_000_002_+18dB.npy,QFSK,Frank,7,9,18,0.3052035190645167,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_003_-12dB,dual/train/signals/QFSK_Frank_000_003_-12dB.npy,QFSK,Frank,7,9,-12,0.2540355109470295,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_003_-06dB,dual/train/signals/QFSK_Frank_000_003_-06dB.npy,QFSK,Frank,7,9,-6,0.2540355109470295,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_003_+00dB,dual/train/signals/QFSK_Frank_000_003_+00dB.npy,QFSK,Frank,7,9,0,0.2540355109470295,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_003_+06dB,dual/train/signals/QFSK_Frank_000_003_+06dB.npy,QFSK,Frank,7,9,6,0.2540355109470295,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_003_+12dB,dual/train/signals/QFSK_Frank_000_003_+12dB.npy,QFSK,Frank,7,9,12,0.2540355109470295,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_003_+18dB,dual/train/signals/QFSK_Frank_000_003_+18dB.npy,QFSK,Frank,7,9,18,0.2540355109470295,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_004_-12dB,dual/train/signals/QFSK_Frank_000_004_-12dB.npy,QFSK,Frank,7,9,-12,0.4816043753205847,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_004_-06dB,dual/train/signals/QFSK_Frank_000_004_-06dB.npy,QFSK,Frank,7,9,-6,0.4816043753205847,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_004_+00dB,dual/train/signals/QFSK_Frank_000_004_+00dB.npy,QFSK,Frank,7,9,0,0.4816043753205847,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_004_+06dB,dual/train/signals/QFSK_Frank_000_004_+06dB.npy,QFSK,Frank,7,9,6,0.4816043753205847,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_004_+12dB,dual/train/signals/QFSK_Frank_000_004_+12dB.npy,QFSK,Frank,7,9,12,0.4816043753205847,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_004_+18dB,dual/train/signals/QFSK_Frank_000_004_+18dB.npy,QFSK,Frank,7,9,18,0.4816043753205847,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_005_-12dB,dual/train/signals/QFSK_Frank_000_005_-12dB.npy,QFSK,Frank,7,9,-12,0.38958678226690446,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_005_-06dB,dual/train/signals/QFSK_Frank_000_005_-06dB.npy,QFSK,Frank,7,9,-6,0.38958678226690446,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_005_+00dB,dual/train/signals/QFSK_Frank_000_005_+00dB.npy,QFSK,Frank,7,9,0,0.38958678226690446,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_005_+06dB,dual/train/signals/QFSK_Frank_000_005_+06dB.npy,QFSK,Frank,7,9,6,0.38958678226690446,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_005_+12dB,dual/train/signals/QFSK_Frank_000_005_+12dB.npy,QFSK,Frank,7,9,12,0.38958678226690446,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_005_+18dB,dual/train/signals/QFSK_Frank_000_005_+18dB.npy,QFSK,Frank,7,9,18,0.38958678226690446,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_006_-12dB,dual/train/signals/QFSK_Frank_000_006_-12dB.npy,QFSK,Frank,7,9,-12,0.39798682404018926,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_006_-06dB,dual/train/signals/QFSK_Frank_000_006_-06dB.npy,QFSK,Frank,7,9,-6,0.39798682404018926,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_006_+00dB,dual/train/signals/QFSK_Frank_000_006_+00dB.npy,QFSK,Frank,7,9,0,0.39798682404018926,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_006_+06dB,dual/train/signals/QFSK_Frank_000_006_+06dB.npy,QFSK,Frank,7,9,6,0.39798682404018926,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_006_+12dB,dual/train/signals/QFSK_Frank_000_006_+12dB.npy,QFSK,Frank,7,9,12,0.39798682404018926,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_006_+18dB,dual/train/signals/QFSK_Frank_000_006_+18dB.npy,QFSK,Frank,7,9,18,0.39798682404018926,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_007_-12dB,dual/train/signals/QFSK_Frank_000_007_-12dB.npy,QFSK,Frank,7,9,-12,0.28375124438819643,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_007_-06dB,dual/train/signals/QFSK_Frank_000_007_-06dB.npy,QFSK,Frank,7,9,-6,0.28375124438819643,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_007_+00dB,dual/train/signals/QFSK_Frank_000_007_+00dB.npy,QFSK,Frank,7,9,0,0.28375124438819643,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_007_+06dB,dual/train/signals/QFSK_Frank_000_007_+06dB.npy,QFSK,Frank,7,9,6,0.28375124438819643,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_007_+12dB,dual/train/signals/QFSK_Frank_000_007_+12dB.npy,QFSK,Frank,7,9,12,0.28375124438819643,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_000_007_+18dB,dual/train/signals/QFSK_Frank_000_007_+18dB.npy,QFSK,Frank,7,9,18,0.28375124438819643,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_001_000_-12dB,dual/train/signals/QFSK_Frank_001_000_-12dB.npy,QFSK,Frank,7,9,-12,0.3345719656175268,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_001_000_-06dB,dual/train/signals/QFSK_Frank_001_000_-06dB.npy,QFSK,Frank,7,9,-6,0.3345719656175268,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_001_000_+00dB,dual/train/signals/QFSK_Frank_001_000_+00dB.npy,QFSK,Frank,7,9,0,0.3345719656175268,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_001_000_+06dB,dual/train/signals/QFSK_Frank_001_000_+06dB.npy,QFSK,Frank,7,9,6,0.3345719656175268,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_001_000_+12dB,dual/train/signals/QFSK_Frank_001_000_+12dB.npy,QFSK,Frank,7,9,12,0.3345719656175268,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_001_000_+18dB,dual/train/signals/QFSK_Frank_001_000_+18dB.npy,QFSK,Frank,7,9,18,0.3345719656175268,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_001_001_-12dB,dual/train/signals/QFSK_Frank_001_001_-12dB.npy,QFSK,Frank,7,9,-12,0.2876493692129787,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
QFSK_Frank_001_001_-06dB,dual/train/signals/QFSK_Frank_001_001_-06dB.npy,QFSK,Frank,7,9,-6,0.2876493692129787,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]"
