signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
QFSK_P1_000_000_-12dB,dual/train/signals/QFSK_P1_000_000_-12dB.npy,QFSK,P1,7,10,-12,0.2895925068353733,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_000_-06dB,dual/train/signals/QFSK_P1_000_000_-06dB.npy,QFSK,P1,7,10,-6,0.2895925068353733,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_000_+00dB,dual/train/signals/QFSK_P1_000_000_+00dB.npy,QFSK,P1,7,10,0,0.2895925068353733,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_000_+06dB,dual/train/signals/QFSK_P1_000_000_+06dB.npy,QFSK,P1,7,10,6,0.2895925068353733,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_000_+12dB,dual/train/signals/QFSK_P1_000_000_+12dB.npy,QFSK,P1,7,10,12,0.2895925068353733,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_000_+18dB,dual/train/signals/QFSK_P1_000_000_+18dB.npy,QFSK,P1,7,10,18,0.2895925068353733,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_001_-12dB,dual/train/signals/QFSK_P1_000_001_-12dB.npy,QFSK,P1,7,10,-12,0.44262963591640436,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_001_-06dB,dual/train/signals/QFSK_P1_000_001_-06dB.npy,QFSK,P1,7,10,-6,0.44262963591640436,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_001_+00dB,dual/train/signals/QFSK_P1_000_001_+00dB.npy,QFSK,P1,7,10,0,0.44262963591640436,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_001_+06dB,dual/train/signals/QFSK_P1_000_001_+06dB.npy,QFSK,P1,7,10,6,0.44262963591640436,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_001_+12dB,dual/train/signals/QFSK_P1_000_001_+12dB.npy,QFSK,P1,7,10,12,0.44262963591640436,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_001_+18dB,dual/train/signals/QFSK_P1_000_001_+18dB.npy,QFSK,P1,7,10,18,0.44262963591640436,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_002_-12dB,dual/train/signals/QFSK_P1_000_002_-12dB.npy,QFSK,P1,7,10,-12,0.30701219360551907,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_002_-06dB,dual/train/signals/QFSK_P1_000_002_-06dB.npy,QFSK,P1,7,10,-6,0.30701219360551907,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_002_+00dB,dual/train/signals/QFSK_P1_000_002_+00dB.npy,QFSK,P1,7,10,0,0.30701219360551907,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_002_+06dB,dual/train/signals/QFSK_P1_000_002_+06dB.npy,QFSK,P1,7,10,6,0.30701219360551907,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
QFSK_P1_000_002_+12dB,dual/train/signals/QFSK_P1_000_002_+12dB.npy,QFSK,P1,7,10,12,0.30701219360551907,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
