signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
QFSK_QFSK_000_000_-12dB,dual/train/signals/QFSK_QFSK_000_000_-12dB.npy,QFSK,QFSK,7,7,-12,0.27556268373608034,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
QFSK_QFSK_000_000_-06dB,dual/train/signals/QFSK_QFSK_000_000_-06dB.npy,QFSK,QFSK,7,7,-6,0.27556268373608034,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
QFSK_QFSK_000_000_+00dB,dual/train/signals/QFSK_QFSK_000_000_+00dB.npy,QFSK,QFSK,7,7,0,0.27556268373608034,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
QFSK_QFSK_000_000_+06dB,dual/train/signals/QFSK_QFSK_000_000_+06dB.npy,QFSK,QFSK,7,7,6,0.27556268373608034,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
QFSK_QFSK_000_000_+12dB,dual/train/signals/QFSK_QFSK_000_000_+12dB.npy,QFSK,QFSK,7,7,12,0.27556268373608034,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
QFSK_QFSK_000_000_+18dB,dual/train/signals/QFSK_QFSK_000_000_+18dB.npy,QFSK,QFSK,7,7,18,0.27556268373608034,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
QFSK_QFSK_000_001_-12dB,dual/train/signals/QFSK_QFSK_000_001_-12dB.npy,QFSK,QFSK,7,7,-12,0.32274774839966364,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
QFSK_QFSK_000_001_-06dB,dual/train/signals/QFSK_QFSK_000_001_-06dB.npy,QFSK,QFSK,7,7,-6,0.32274774839966364,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
QFSK_QFSK_000_001_+00dB,dual/train/signals/QFSK_QFSK_000_001_+00dB.npy,QFSK,QFSK,7,7,0,0.32274774839966364,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
QFSK_QFSK_000_001_+06dB,dual/train/signals/QFSK_QFSK_000_001_+06dB.npy,QFSK,QFSK,7,7,6,0.32274774839966364,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
QFSK_QFSK_000_001_+12dB,dual/train/signals/QFSK_QFSK_000_001_+12dB.npy,QFSK,QFSK,7,7,12,0.32274774839966364,1,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
