signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
SFM_P4_000_000_-12dB,dual/train/signals/SFM_P4_000_000_-12dB.npy,SFM,P4,5,13,-12,0.42244348905893314,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_000_-06dB,dual/train/signals/SFM_P4_000_000_-06dB.npy,SFM,P4,5,13,-6,0.42244348905893314,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_000_+00dB,dual/train/signals/SFM_P4_000_000_+00dB.npy,SFM,P4,5,13,0,0.42244348905893314,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_000_+06dB,dual/train/signals/SFM_P4_000_000_+06dB.npy,SFM,P4,5,13,6,0.42244348905893314,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_000_+12dB,dual/train/signals/SFM_P4_000_000_+12dB.npy,SFM,P4,5,13,12,0.42244348905893314,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_000_+18dB,dual/train/signals/SFM_P4_000_000_+18dB.npy,SFM,P4,5,13,18,0.42244348905893314,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_001_-12dB,dual/train/signals/SFM_P4_000_001_-12dB.npy,SFM,P4,5,13,-12,0.33069969138806743,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_001_-06dB,dual/train/signals/SFM_P4_000_001_-06dB.npy,SFM,P4,5,13,-6,0.33069969138806743,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_001_+00dB,dual/train/signals/SFM_P4_000_001_+00dB.npy,SFM,P4,5,13,0,0.33069969138806743,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_001_+06dB,dual/train/signals/SFM_P4_000_001_+06dB.npy,SFM,P4,5,13,6,0.33069969138806743,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_001_+12dB,dual/train/signals/SFM_P4_000_001_+12dB.npy,SFM,P4,5,13,12,0.33069969138806743,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_001_+18dB,dual/train/signals/SFM_P4_000_001_+18dB.npy,SFM,P4,5,13,18,0.33069969138806743,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_002_-12dB,dual/train/signals/SFM_P4_000_002_-12dB.npy,SFM,P4,5,13,-12,0.3024404032572131,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_002_-06dB,dual/train/signals/SFM_P4_000_002_-06dB.npy,SFM,P4,5,13,-6,0.3024404032572131,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_002_+00dB,dual/train/signals/SFM_P4_000_002_+00dB.npy,SFM,P4,5,13,0,0.3024404032572131,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_002_+06dB,dual/train/signals/SFM_P4_000_002_+06dB.npy,SFM,P4,5,13,6,0.3024404032572131,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_002_+12dB,dual/train/signals/SFM_P4_000_002_+12dB.npy,SFM,P4,5,13,12,0.3024404032572131,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_002_+18dB,dual/train/signals/SFM_P4_000_002_+18dB.npy,SFM,P4,5,13,18,0.3024404032572131,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_003_-12dB,dual/train/signals/SFM_P4_000_003_-12dB.npy,SFM,P4,5,13,-12,0.3470048347965662,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_003_-06dB,dual/train/signals/SFM_P4_000_003_-06dB.npy,SFM,P4,5,13,-6,0.3470048347965662,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_003_+00dB,dual/train/signals/SFM_P4_000_003_+00dB.npy,SFM,P4,5,13,0,0.3470048347965662,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_003_+06dB,dual/train/signals/SFM_P4_000_003_+06dB.npy,SFM,P4,5,13,6,0.3470048347965662,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_003_+12dB,dual/train/signals/SFM_P4_000_003_+12dB.npy,SFM,P4,5,13,12,0.3470048347965662,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_003_+18dB,dual/train/signals/SFM_P4_000_003_+18dB.npy,SFM,P4,5,13,18,0.3470048347965662,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_004_-12dB,dual/train/signals/SFM_P4_000_004_-12dB.npy,SFM,P4,5,13,-12,0.39741197033136577,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_004_-06dB,dual/train/signals/SFM_P4_000_004_-06dB.npy,SFM,P4,5,13,-6,0.39741197033136577,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_004_+00dB,dual/train/signals/SFM_P4_000_004_+00dB.npy,SFM,P4,5,13,0,0.39741197033136577,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_004_+06dB,dual/train/signals/SFM_P4_000_004_+06dB.npy,SFM,P4,5,13,6,0.39741197033136577,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_004_+12dB,dual/train/signals/SFM_P4_000_004_+12dB.npy,SFM,P4,5,13,12,0.39741197033136577,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_004_+18dB,dual/train/signals/SFM_P4_000_004_+18dB.npy,SFM,P4,5,13,18,0.39741197033136577,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_005_-12dB,dual/train/signals/SFM_P4_000_005_-12dB.npy,SFM,P4,5,13,-12,0.3454128971471976,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_005_-06dB,dual/train/signals/SFM_P4_000_005_-06dB.npy,SFM,P4,5,13,-6,0.3454128971471976,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_005_+00dB,dual/train/signals/SFM_P4_000_005_+00dB.npy,SFM,P4,5,13,0,0.3454128971471976,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_005_+06dB,dual/train/signals/SFM_P4_000_005_+06dB.npy,SFM,P4,5,13,6,0.3454128971471976,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_005_+12dB,dual/train/signals/SFM_P4_000_005_+12dB.npy,SFM,P4,5,13,12,0.3454128971471976,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_005_+18dB,dual/train/signals/SFM_P4_000_005_+18dB.npy,SFM,P4,5,13,18,0.3454128971471976,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_006_-12dB,dual/train/signals/SFM_P4_000_006_-12dB.npy,SFM,P4,5,13,-12,0.26790634265921487,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
SFM_P4_000_006_-06dB,dual/train/signals/SFM_P4_000_006_-06dB.npy,SFM,P4,5,13,-6,0.26790634265921487,1,0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
