signal_id,signal_path,modulation1,modulation2,modulation_idx1,modulation_idx2,snr_db,alpha,is_dual_component,is_same_modulation,one_hot_label
SFM_SFM_000_000_-12dB,dual/train/signals/SFM_SFM_000_000_-12dB.npy,SFM,SFM,5,5,-12,0.3315284017255793,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_-06dB,dual/train/signals/SFM_SFM_000_000_-06dB.npy,SFM,SFM,5,5,-6,0.3315284017255793,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_+00dB,dual/train/signals/SFM_SFM_000_000_+00dB.npy,SFM,SFM,5,5,0,0.3315284017255793,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_+06dB,dual/train/signals/SFM_SFM_000_000_+06dB.npy,SFM,SFM,5,5,6,0.3315284017255793,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_+12dB,dual/train/signals/SFM_SFM_000_000_+12dB.npy,SFM,SFM,5,5,12,0.3315284017255793,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_000_+18dB,dual/train/signals/SFM_SFM_000_000_+18dB.npy,SFM,SFM,5,5,18,0.3315284017255793,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_001_-12dB,dual/train/signals/SFM_SFM_000_001_-12dB.npy,SFM,SFM,5,5,-12,0.31525573939051166,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_001_-06dB,dual/train/signals/SFM_SFM_000_001_-06dB.npy,SFM,SFM,5,5,-6,0.31525573939051166,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_001_+00dB,dual/train/signals/SFM_SFM_000_001_+00dB.npy,SFM,SFM,5,5,0,0.31525573939051166,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_001_+06dB,dual/train/signals/SFM_SFM_000_001_+06dB.npy,SFM,SFM,5,5,6,0.31525573939051166,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_001_+12dB,dual/train/signals/SFM_SFM_000_001_+12dB.npy,SFM,SFM,5,5,12,0.31525573939051166,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_001_+18dB,dual/train/signals/SFM_SFM_000_001_+18dB.npy,SFM,SFM,5,5,18,0.31525573939051166,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_002_-12dB,dual/train/signals/SFM_SFM_000_002_-12dB.npy,SFM,SFM,5,5,-12,0.2666629102912237,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_002_-06dB,dual/train/signals/SFM_SFM_000_002_-06dB.npy,SFM,SFM,5,5,-6,0.2666629102912237,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_002_+00dB,dual/train/signals/SFM_SFM_000_002_+00dB.npy,SFM,SFM,5,5,0,0.2666629102912237,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_002_+06dB,dual/train/signals/SFM_SFM_000_002_+06dB.npy,SFM,SFM,5,5,6,0.2666629102912237,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_002_+12dB,dual/train/signals/SFM_SFM_000_002_+12dB.npy,SFM,SFM,5,5,12,0.2666629102912237,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_002_+18dB,dual/train/signals/SFM_SFM_000_002_+18dB.npy,SFM,SFM,5,5,18,0.2666629102912237,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_003_-12dB,dual/train/signals/SFM_SFM_000_003_-12dB.npy,SFM,SFM,5,5,-12,0.44371766636276,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_003_-06dB,dual/train/signals/SFM_SFM_000_003_-06dB.npy,SFM,SFM,5,5,-6,0.44371766636276,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_003_+00dB,dual/train/signals/SFM_SFM_000_003_+00dB.npy,SFM,SFM,5,5,0,0.44371766636276,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_003_+06dB,dual/train/signals/SFM_SFM_000_003_+06dB.npy,SFM,SFM,5,5,6,0.44371766636276,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_003_+12dB,dual/train/signals/SFM_SFM_000_003_+12dB.npy,SFM,SFM,5,5,12,0.44371766636276,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_003_+18dB,dual/train/signals/SFM_SFM_000_003_+18dB.npy,SFM,SFM,5,5,18,0.44371766636276,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_004_-12dB,dual/train/signals/SFM_SFM_000_004_-12dB.npy,SFM,SFM,5,5,-12,0.3024062553896587,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_004_-06dB,dual/train/signals/SFM_SFM_000_004_-06dB.npy,SFM,SFM,5,5,-6,0.3024062553896587,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
SFM_SFM_000_004_+00dB,dual/train/signals/SFM_SFM_000_004_+00dB.npy,SFM,SFM,5,5,0,0.3024062553896587,1,1,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
