signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
BFSK_0000_-12dB,single/train/signals/BFSK_0000_-12dB.npy,BFSK,6,-12,"{'f1': 0.19213419129490245, 'f2': 0.24152155026395683, 'N': np.int64(5), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_-06dB,single/train/signals/BFSK_0000_-06dB.npy,BFSK,6,-6,"{'f1': 0.19213419129490245, 'f2': 0.24152155026395683, 'N': np.int64(5), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_+00dB,single/train/signals/BFSK_0000_+00dB.npy,BFSK,6,0,"{'f1': 0.19213419129490245, 'f2': 0.24152155026395683, 'N': np.int64(5), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_+06dB,single/train/signals/BFSK_0000_+06dB.npy,BFSK,6,6,"{'f1': 0.19213419129490245, 'f2': 0.24152155026395683, 'N': np.int64(5), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_+12dB,single/train/signals/BFSK_0000_+12dB.npy,BFSK,6,12,"{'f1': 0.19213419129490245, 'f2': 0.24152155026395683, 'N': np.int64(5), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0000_+18dB,single/train/signals/BFSK_0000_+18dB.npy,BFSK,6,18,"{'f1': 0.19213419129490245, 'f2': 0.24152155026395683, 'N': np.int64(5), 'inverted': np.True_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0001_-12dB,single/train/signals/BFSK_0001_-12dB.npy,BFSK,6,-12,"{'f1': 0.3563308413184291, 'f2': 0.23363597952954568, 'N': np.int64(11), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0001_-06dB,single/train/signals/BFSK_0001_-06dB.npy,BFSK,6,-6,"{'f1': 0.3563308413184291, 'f2': 0.23363597952954568, 'N': np.int64(11), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0001_+00dB,single/train/signals/BFSK_0001_+00dB.npy,BFSK,6,0,"{'f1': 0.3563308413184291, 'f2': 0.23363597952954568, 'N': np.int64(11), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
BFSK_0001_+06dB,single/train/signals/BFSK_0001_+06dB.npy,BFSK,6,6,"{'f1': 0.3563308413184291, 'f2': 0.23363597952954568, 'N': np.int64(11), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
