signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
DLFM_0000_-12dB,single/train/signals/DLFM_0000_-12dB.npy,DLFM,2,-12,"{'f0': 0.08279762998707046, 'delta_f': 0.16072268867852987}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_-06dB,single/train/signals/DLFM_0000_-06dB.npy,DLFM,2,-6,"{'f0': 0.08279762998707046, 'delta_f': 0.16072268867852987}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+00dB,single/train/signals/DLFM_0000_+00dB.npy,DLFM,2,0,"{'f0': 0.08279762998707046, 'delta_f': 0.16072268867852987}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+06dB,single/train/signals/DLFM_0000_+06dB.npy,DLFM,2,6,"{'f0': 0.08279762998707046, 'delta_f': 0.16072268867852987}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+12dB,single/train/signals/DLFM_0000_+12dB.npy,DLFM,2,12,"{'f0': 0.08279762998707046, 'delta_f': 0.16072268867852987}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0000_+18dB,single/train/signals/DLFM_0000_+18dB.npy,DLFM,2,18,"{'f0': 0.08279762998707046, 'delta_f': 0.16072268867852987}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0001_-12dB,single/train/signals/DLFM_0001_-12dB.npy,DLFM,2,-12,"{'f0': 0.04050050724620953, 'delta_f': 0.34536177729959894}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0001_-06dB,single/train/signals/DLFM_0001_-06dB.npy,DLFM,2,-6,"{'f0': 0.04050050724620953, 'delta_f': 0.34536177729959894}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0001_+00dB,single/train/signals/DLFM_0001_+00dB.npy,DLFM,2,0,"{'f0': 0.04050050724620953, 'delta_f': 0.34536177729959894}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0001_+06dB,single/train/signals/DLFM_0001_+06dB.npy,DLFM,2,6,"{'f0': 0.04050050724620953, 'delta_f': 0.34536177729959894}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0001_+12dB,single/train/signals/DLFM_0001_+12dB.npy,DLFM,2,12,"{'f0': 0.04050050724620953, 'delta_f': 0.34536177729959894}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0001_+18dB,single/train/signals/DLFM_0001_+18dB.npy,DLFM,2,18,"{'f0': 0.04050050724620953, 'delta_f': 0.34536177729959894}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0002_-12dB,single/train/signals/DLFM_0002_-12dB.npy,DLFM,2,-12,"{'f0': 0.06405131115892652, 'delta_f': 0.27260698021137686}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0002_-06dB,single/train/signals/DLFM_0002_-06dB.npy,DLFM,2,-6,"{'f0': 0.06405131115892652, 'delta_f': 0.27260698021137686}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0002_+00dB,single/train/signals/DLFM_0002_+00dB.npy,DLFM,2,0,"{'f0': 0.06405131115892652, 'delta_f': 0.27260698021137686}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0002_+06dB,single/train/signals/DLFM_0002_+06dB.npy,DLFM,2,6,"{'f0': 0.06405131115892652, 'delta_f': 0.27260698021137686}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0002_+12dB,single/train/signals/DLFM_0002_+12dB.npy,DLFM,2,12,"{'f0': 0.06405131115892652, 'delta_f': 0.27260698021137686}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0002_+18dB,single/train/signals/DLFM_0002_+18dB.npy,DLFM,2,18,"{'f0': 0.06405131115892652, 'delta_f': 0.27260698021137686}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0003_-12dB,single/train/signals/DLFM_0003_-12dB.npy,DLFM,2,-12,"{'f0': 0.12286492728728092, 'delta_f': 0.13025651675613867}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0003_-06dB,single/train/signals/DLFM_0003_-06dB.npy,DLFM,2,-6,"{'f0': 0.12286492728728092, 'delta_f': 0.13025651675613867}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0003_+00dB,single/train/signals/DLFM_0003_+00dB.npy,DLFM,2,0,"{'f0': 0.12286492728728092, 'delta_f': 0.13025651675613867}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0003_+06dB,single/train/signals/DLFM_0003_+06dB.npy,DLFM,2,6,"{'f0': 0.12286492728728092, 'delta_f': 0.13025651675613867}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0003_+12dB,single/train/signals/DLFM_0003_+12dB.npy,DLFM,2,12,"{'f0': 0.12286492728728092, 'delta_f': 0.13025651675613867}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0003_+18dB,single/train/signals/DLFM_0003_+18dB.npy,DLFM,2,18,"{'f0': 0.12286492728728092, 'delta_f': 0.13025651675613867}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0004_-12dB,single/train/signals/DLFM_0004_-12dB.npy,DLFM,2,-12,"{'f0': 0.09029426064273725, 'delta_f': 0.2534211465706519}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0004_-06dB,single/train/signals/DLFM_0004_-06dB.npy,DLFM,2,-6,"{'f0': 0.09029426064273725, 'delta_f': 0.2534211465706519}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0004_+00dB,single/train/signals/DLFM_0004_+00dB.npy,DLFM,2,0,"{'f0': 0.09029426064273725, 'delta_f': 0.2534211465706519}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0004_+06dB,single/train/signals/DLFM_0004_+06dB.npy,DLFM,2,6,"{'f0': 0.09029426064273725, 'delta_f': 0.2534211465706519}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0004_+12dB,single/train/signals/DLFM_0004_+12dB.npy,DLFM,2,12,"{'f0': 0.09029426064273725, 'delta_f': 0.2534211465706519}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0004_+18dB,single/train/signals/DLFM_0004_+18dB.npy,DLFM,2,18,"{'f0': 0.09029426064273725, 'delta_f': 0.2534211465706519}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0005_-12dB,single/train/signals/DLFM_0005_-12dB.npy,DLFM,2,-12,"{'f0': 0.31480553028548597, 'delta_f': 0.2984146450101996}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0005_-06dB,single/train/signals/DLFM_0005_-06dB.npy,DLFM,2,-6,"{'f0': 0.31480553028548597, 'delta_f': 0.2984146450101996}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0005_+00dB,single/train/signals/DLFM_0005_+00dB.npy,DLFM,2,0,"{'f0': 0.31480553028548597, 'delta_f': 0.2984146450101996}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0005_+06dB,single/train/signals/DLFM_0005_+06dB.npy,DLFM,2,6,"{'f0': 0.31480553028548597, 'delta_f': 0.2984146450101996}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0005_+12dB,single/train/signals/DLFM_0005_+12dB.npy,DLFM,2,12,"{'f0': 0.31480553028548597, 'delta_f': 0.2984146450101996}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0005_+18dB,single/train/signals/DLFM_0005_+18dB.npy,DLFM,2,18,"{'f0': 0.31480553028548597, 'delta_f': 0.2984146450101996}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0006_-12dB,single/train/signals/DLFM_0006_-12dB.npy,DLFM,2,-12,"{'f0': 0.08356434473193335, 'delta_f': 0.2656388802767574}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0006_-06dB,single/train/signals/DLFM_0006_-06dB.npy,DLFM,2,-6,"{'f0': 0.08356434473193335, 'delta_f': 0.2656388802767574}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0006_+00dB,single/train/signals/DLFM_0006_+00dB.npy,DLFM,2,0,"{'f0': 0.08356434473193335, 'delta_f': 0.2656388802767574}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0006_+06dB,single/train/signals/DLFM_0006_+06dB.npy,DLFM,2,6,"{'f0': 0.08356434473193335, 'delta_f': 0.2656388802767574}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0006_+12dB,single/train/signals/DLFM_0006_+12dB.npy,DLFM,2,12,"{'f0': 0.08356434473193335, 'delta_f': 0.2656388802767574}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0006_+18dB,single/train/signals/DLFM_0006_+18dB.npy,DLFM,2,18,"{'f0': 0.08356434473193335, 'delta_f': 0.2656388802767574}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
DLFM_0007_-12dB,single/train/signals/DLFM_0007_-12dB.npy,DLFM,2,-12,"{'f0': 0.06911129737264562, 'delta_f': 0.3435014930397467}",0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
