signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
EQFM_0000_-12dB,single/train/signals/EQFM_0000_-12dB.npy,EQFM,4,-12,"{'fmin': 0.3657245618959022, 'delta_f': 0.19983705192161083}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_-06dB,single/train/signals/EQFM_0000_-06dB.npy,EQFM,4,-6,"{'fmin': 0.3657245618959022, 'delta_f': 0.19983705192161083}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+00dB,single/train/signals/EQFM_0000_+00dB.npy,EQFM,4,0,"{'fmin': 0.3657245618959022, 'delta_f': 0.19983705192161083}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+06dB,single/train/signals/EQFM_0000_+06dB.npy,EQFM,4,6,"{'fmin': 0.3657245618959022, 'delta_f': 0.19983705192161083}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+12dB,single/train/signals/EQFM_0000_+12dB.npy,EQFM,4,12,"{'fmin': 0.3657245618959022, 'delta_f': 0.19983705192161083}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0000_+18dB,single/train/signals/EQFM_0000_+18dB.npy,EQFM,4,18,"{'fmin': 0.3657245618959022, 'delta_f': 0.19983705192161083}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_-12dB,single/train/signals/EQFM_0001_-12dB.npy,EQFM,4,-12,"{'fmin': 0.2244258861576529, 'delta_f': 0.248041537440921}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_-06dB,single/train/signals/EQFM_0001_-06dB.npy,EQFM,4,-6,"{'fmin': 0.2244258861576529, 'delta_f': 0.248041537440921}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_+00dB,single/train/signals/EQFM_0001_+00dB.npy,EQFM,4,0,"{'fmin': 0.2244258861576529, 'delta_f': 0.248041537440921}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_+06dB,single/train/signals/EQFM_0001_+06dB.npy,EQFM,4,6,"{'fmin': 0.2244258861576529, 'delta_f': 0.248041537440921}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
EQFM_0001_+12dB,single/train/signals/EQFM_0001_+12dB.npy,EQFM,4,12,"{'fmin': 0.2244258861576529, 'delta_f': 0.248041537440921}",0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
