signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
Frank_0000_-12dB,single/train/signals/Frank_0000_-12dB.npy,Frank,9,-12,"{'f0': 0.10798568373271573, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_-06dB,single/train/signals/Frank_0000_-06dB.npy,Frank,9,-6,"{'f0': 0.10798568373271573, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_+00dB,single/train/signals/Frank_0000_+00dB.npy,Frank,9,0,"{'f0': 0.10798568373271573, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_+06dB,single/train/signals/Frank_0000_+06dB.npy,Frank,9,6,"{'f0': 0.10798568373271573, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_+12dB,single/train/signals/Frank_0000_+12dB.npy,Frank,9,12,"{'f0': 0.10798568373271573, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0000_+18dB,single/train/signals/Frank_0000_+18dB.npy,Frank,9,18,"{'f0': 0.10798568373271573, 'N': np.int64(7), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0001_-12dB,single/train/signals/Frank_0001_-12dB.npy,Frank,9,-12,"{'f0': 0.23782264084127797, 'N': np.int64(6), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0001_-06dB,single/train/signals/Frank_0001_-06dB.npy,Frank,9,-6,"{'f0': 0.23782264084127797, 'N': np.int64(6), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0001_+00dB,single/train/signals/Frank_0001_+00dB.npy,Frank,9,0,"{'f0': 0.23782264084127797, 'N': np.int64(6), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0001_+06dB,single/train/signals/Frank_0001_+06dB.npy,Frank,9,6,"{'f0': 0.23782264084127797, 'N': np.int64(6), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0001_+12dB,single/train/signals/Frank_0001_+12dB.npy,Frank,9,12,"{'f0': 0.23782264084127797, 'N': np.int64(6), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0001_+18dB,single/train/signals/Frank_0001_+18dB.npy,Frank,9,18,"{'f0': 0.23782264084127797, 'N': np.int64(6), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
Frank_0002_-12dB,single/train/signals/Frank_0002_-12dB.npy,Frank,9,-12,"{'f0': 0.15951674492887338, 'N': np.int64(6), 'inverted': np.False_}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
