signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
LFM_BPSK_0000_-12dB,single/train/signals/LFM_BPSK_0000_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.11853507636354249, 'delta_f': 0.1132337452765302, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_-06dB,single/train/signals/LFM_BPSK_0000_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.11853507636354249, 'delta_f': 0.1132337452765302, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+00dB,single/train/signals/LFM_BPSK_0000_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.11853507636354249, 'delta_f': 0.1132337452765302, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+06dB,single/train/signals/LFM_BPSK_0000_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.11853507636354249, 'delta_f': 0.1132337452765302, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+12dB,single/train/signals/LFM_BPSK_0000_+12dB.npy,LFM_BPSK,14,12,"{'fmin': 0.11853507636354249, 'delta_f': 0.1132337452765302, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0000_+18dB,single/train/signals/LFM_BPSK_0000_+18dB.npy,LFM_BPSK,14,18,"{'fmin': 0.11853507636354249, 'delta_f': 0.1132337452765302, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_-12dB,single/train/signals/LFM_BPSK_0001_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.18768929108819032, 'delta_f': 0.06156904282233466, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_-06dB,single/train/signals/LFM_BPSK_0001_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.18768929108819032, 'delta_f': 0.06156904282233466, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+00dB,single/train/signals/LFM_BPSK_0001_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.18768929108819032, 'delta_f': 0.06156904282233466, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+06dB,single/train/signals/LFM_BPSK_0001_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.18768929108819032, 'delta_f': 0.06156904282233466, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+12dB,single/train/signals/LFM_BPSK_0001_+12dB.npy,LFM_BPSK,14,12,"{'fmin': 0.18768929108819032, 'delta_f': 0.06156904282233466, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0001_+18dB,single/train/signals/LFM_BPSK_0001_+18dB.npy,LFM_BPSK,14,18,"{'fmin': 0.18768929108819032, 'delta_f': 0.06156904282233466, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_-12dB,single/train/signals/LFM_BPSK_0002_-12dB.npy,LFM_BPSK,14,-12,"{'fmin': 0.40834980288235884, 'delta_f': 0.2633748875262985, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_-06dB,single/train/signals/LFM_BPSK_0002_-06dB.npy,LFM_BPSK,14,-6,"{'fmin': 0.40834980288235884, 'delta_f': 0.2633748875262985, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_+00dB,single/train/signals/LFM_BPSK_0002_+00dB.npy,LFM_BPSK,14,0,"{'fmin': 0.40834980288235884, 'delta_f': 0.2633748875262985, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
LFM_BPSK_0002_+06dB,single/train/signals/LFM_BPSK_0002_+06dB.npy,LFM_BPSK,14,6,"{'fmin': 0.40834980288235884, 'delta_f': 0.2633748875262985, 'N': np.int64(11)}",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
