signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
LFM_0000_-12dB,single/train/signals/LFM_0000_-12dB.npy,LFM,1,-12,"{'f0': 0.1630033639699407, 'delta_f': 0.09077576371909775, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_-06dB,single/train/signals/LFM_0000_-06dB.npy,LFM,1,-6,"{'f0': 0.1630033639699407, 'delta_f': 0.09077576371909775, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+00dB,single/train/signals/LFM_0000_+00dB.npy,LFM,1,0,"{'f0': 0.1630033639699407, 'delta_f': 0.09077576371909775, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+06dB,single/train/signals/LFM_0000_+06dB.npy,LFM,1,6,"{'f0': 0.1630033639699407, 'delta_f': 0.09077576371909775, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+12dB,single/train/signals/LFM_0000_+12dB.npy,LFM,1,12,"{'f0': 0.1630033639699407, 'delta_f': 0.09077576371909775, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0000_+18dB,single/train/signals/LFM_0000_+18dB.npy,LFM,1,18,"{'f0': 0.1630033639699407, 'delta_f': 0.09077576371909775, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_-12dB,single/train/signals/LFM_0001_-12dB.npy,LFM,1,-12,"{'f0': 0.3388810625263392, 'delta_f': 0.3946690559160095, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_-06dB,single/train/signals/LFM_0001_-06dB.npy,LFM,1,-6,"{'f0': 0.3388810625263392, 'delta_f': 0.3946690559160095, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_+00dB,single/train/signals/LFM_0001_+00dB.npy,LFM,1,0,"{'f0': 0.3388810625263392, 'delta_f': 0.3946690559160095, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_+06dB,single/train/signals/LFM_0001_+06dB.npy,LFM,1,6,"{'f0': 0.3388810625263392, 'delta_f': 0.3946690559160095, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
LFM_0001_+12dB,single/train/signals/LFM_0001_+12dB.npy,LFM,1,12,"{'f0': 0.3388810625263392, 'delta_f': 0.3946690559160095, 'direction': np.int64(1)}",0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
