signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
MLFM_0000_-12dB,single/train/signals/MLFM_0000_-12dB.npy,MLFM,3,-12,"{'f0': 0.21513553863046359, 'delta_f': 0.2581487919326398, 'r': 0.33338575205924353}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_-06dB,single/train/signals/MLFM_0000_-06dB.npy,MLFM,3,-6,"{'f0': 0.21513553863046359, 'delta_f': 0.2581487919326398, 'r': 0.33338575205924353}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_+00dB,single/train/signals/MLFM_0000_+00dB.npy,MLFM,3,0,"{'f0': 0.21513553863046359, 'delta_f': 0.2581487919326398, 'r': 0.33338575205924353}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_+06dB,single/train/signals/MLFM_0000_+06dB.npy,MLFM,3,6,"{'f0': 0.21513553863046359, 'delta_f': 0.2581487919326398, 'r': 0.33338575205924353}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_+12dB,single/train/signals/MLFM_0000_+12dB.npy,MLFM,3,12,"{'f0': 0.21513553863046359, 'delta_f': 0.2581487919326398, 'r': 0.33338575205924353}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0000_+18dB,single/train/signals/MLFM_0000_+18dB.npy,MLFM,3,18,"{'f0': 0.21513553863046359, 'delta_f': 0.2581487919326398, 'r': 0.33338575205924353}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0001_-12dB,single/train/signals/MLFM_0001_-12dB.npy,MLFM,3,-12,"{'f0': 0.296137895575856, 'delta_f': 0.31789235817035366, 'r': 0.46514634416958245}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0001_-06dB,single/train/signals/MLFM_0001_-06dB.npy,MLFM,3,-6,"{'f0': 0.296137895575856, 'delta_f': 0.31789235817035366, 'r': 0.46514634416958245}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0001_+00dB,single/train/signals/MLFM_0001_+00dB.npy,MLFM,3,0,"{'f0': 0.296137895575856, 'delta_f': 0.31789235817035366, 'r': 0.46514634416958245}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0001_+06dB,single/train/signals/MLFM_0001_+06dB.npy,MLFM,3,6,"{'f0': 0.296137895575856, 'delta_f': 0.31789235817035366, 'r': 0.46514634416958245}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0001_+12dB,single/train/signals/MLFM_0001_+12dB.npy,MLFM,3,12,"{'f0': 0.296137895575856, 'delta_f': 0.31789235817035366, 'r': 0.46514634416958245}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0001_+18dB,single/train/signals/MLFM_0001_+18dB.npy,MLFM,3,18,"{'f0': 0.296137895575856, 'delta_f': 0.31789235817035366, 'r': 0.46514634416958245}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MLFM_0002_-12dB,single/train/signals/MLFM_0002_-12dB.npy,MLFM,3,-12,"{'f0': 0.2617567806606492, 'delta_f': 0.11944141399681579, 'r': 0.377967855203866}",0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
