signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
NM_0000_-12dB,single/train/signals/NM_0000_-12dB.npy,NM,0,-12,{'f0': 0.33738443198627066},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_-06dB,single/train/signals/NM_0000_-06dB.npy,NM,0,-6,{'f0': 0.33738443198627066},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_+00dB,single/train/signals/NM_0000_+00dB.npy,NM,0,0,{'f0': 0.33738443198627066},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_+06dB,single/train/signals/NM_0000_+06dB.npy,NM,0,6,{'f0': 0.33738443198627066},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_+12dB,single/train/signals/NM_0000_+12dB.npy,NM,0,12,{'f0': 0.33738443198627066},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0000_+18dB,single/train/signals/NM_0000_+18dB.npy,NM,0,18,{'f0': 0.33738443198627066},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_-12dB,single/train/signals/NM_0001_-12dB.npy,NM,0,-12,{'f0': 0.3933610975119427},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_-06dB,single/train/signals/NM_0001_-06dB.npy,NM,0,-6,{'f0': 0.3933610975119427},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_+00dB,single/train/signals/NM_0001_+00dB.npy,NM,0,0,{'f0': 0.3933610975119427},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_+06dB,single/train/signals/NM_0001_+06dB.npy,NM,0,6,{'f0': 0.3933610975119427},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_+12dB,single/train/signals/NM_0001_+12dB.npy,NM,0,12,{'f0': 0.3933610975119427},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0001_+18dB,single/train/signals/NM_0001_+18dB.npy,NM,0,18,{'f0': 0.3933610975119427},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_-12dB,single/train/signals/NM_0002_-12dB.npy,NM,0,-12,{'f0': 0.33545278488027164},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_-06dB,single/train/signals/NM_0002_-06dB.npy,NM,0,-6,{'f0': 0.33545278488027164},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_+00dB,single/train/signals/NM_0002_+00dB.npy,NM,0,0,{'f0': 0.33545278488027164},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_+06dB,single/train/signals/NM_0002_+06dB.npy,NM,0,6,{'f0': 0.33545278488027164},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_+12dB,single/train/signals/NM_0002_+12dB.npy,NM,0,12,{'f0': 0.33545278488027164},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0002_+18dB,single/train/signals/NM_0002_+18dB.npy,NM,0,18,{'f0': 0.33545278488027164},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_-12dB,single/train/signals/NM_0003_-12dB.npy,NM,0,-12,{'f0': 0.35144268736001816},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_-06dB,single/train/signals/NM_0003_-06dB.npy,NM,0,-6,{'f0': 0.35144268736001816},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_+00dB,single/train/signals/NM_0003_+00dB.npy,NM,0,0,{'f0': 0.35144268736001816},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_+06dB,single/train/signals/NM_0003_+06dB.npy,NM,0,6,{'f0': 0.35144268736001816},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_+12dB,single/train/signals/NM_0003_+12dB.npy,NM,0,12,{'f0': 0.35144268736001816},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0003_+18dB,single/train/signals/NM_0003_+18dB.npy,NM,0,18,{'f0': 0.35144268736001816},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_-12dB,single/train/signals/NM_0004_-12dB.npy,NM,0,-12,{'f0': 0.31361087621579525},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_-06dB,single/train/signals/NM_0004_-06dB.npy,NM,0,-6,{'f0': 0.31361087621579525},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_+00dB,single/train/signals/NM_0004_+00dB.npy,NM,0,0,{'f0': 0.31361087621579525},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_+06dB,single/train/signals/NM_0004_+06dB.npy,NM,0,6,{'f0': 0.31361087621579525},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_+12dB,single/train/signals/NM_0004_+12dB.npy,NM,0,12,{'f0': 0.31361087621579525},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0004_+18dB,single/train/signals/NM_0004_+18dB.npy,NM,0,18,{'f0': 0.31361087621579525},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_-12dB,single/train/signals/NM_0005_-12dB.npy,NM,0,-12,{'f0': 0.15022197130746182},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_-06dB,single/train/signals/NM_0005_-06dB.npy,NM,0,-6,{'f0': 0.15022197130746182},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_+00dB,single/train/signals/NM_0005_+00dB.npy,NM,0,0,{'f0': 0.15022197130746182},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_+06dB,single/train/signals/NM_0005_+06dB.npy,NM,0,6,{'f0': 0.15022197130746182},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_+12dB,single/train/signals/NM_0005_+12dB.npy,NM,0,12,{'f0': 0.15022197130746182},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0005_+18dB,single/train/signals/NM_0005_+18dB.npy,NM,0,18,{'f0': 0.15022197130746182},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_-12dB,single/train/signals/NM_0006_-12dB.npy,NM,0,-12,{'f0': 0.17498365493324258},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_-06dB,single/train/signals/NM_0006_-06dB.npy,NM,0,-6,{'f0': 0.17498365493324258},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_+00dB,single/train/signals/NM_0006_+00dB.npy,NM,0,0,{'f0': 0.17498365493324258},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_+06dB,single/train/signals/NM_0006_+06dB.npy,NM,0,6,{'f0': 0.17498365493324258},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_+12dB,single/train/signals/NM_0006_+12dB.npy,NM,0,12,{'f0': 0.17498365493324258},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0006_+18dB,single/train/signals/NM_0006_+18dB.npy,NM,0,18,{'f0': 0.17498365493324258},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0007_-12dB,single/train/signals/NM_0007_-12dB.npy,NM,0,-12,{'f0': 0.23141715026127888},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0007_-06dB,single/train/signals/NM_0007_-06dB.npy,NM,0,-6,{'f0': 0.23141715026127888},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0007_+00dB,single/train/signals/NM_0007_+00dB.npy,NM,0,0,{'f0': 0.23141715026127888},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0007_+06dB,single/train/signals/NM_0007_+06dB.npy,NM,0,6,{'f0': 0.23141715026127888},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0007_+12dB,single/train/signals/NM_0007_+12dB.npy,NM,0,12,{'f0': 0.23141715026127888},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0007_+18dB,single/train/signals/NM_0007_+18dB.npy,NM,0,18,{'f0': 0.23141715026127888},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0008_-12dB,single/train/signals/NM_0008_-12dB.npy,NM,0,-12,{'f0': 0.14262160746274133},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0008_-06dB,single/train/signals/NM_0008_-06dB.npy,NM,0,-6,{'f0': 0.14262160746274133},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0008_+00dB,single/train/signals/NM_0008_+00dB.npy,NM,0,0,{'f0': 0.14262160746274133},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0008_+06dB,single/train/signals/NM_0008_+06dB.npy,NM,0,6,{'f0': 0.14262160746274133},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0008_+12dB,single/train/signals/NM_0008_+12dB.npy,NM,0,12,{'f0': 0.14262160746274133},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0008_+18dB,single/train/signals/NM_0008_+18dB.npy,NM,0,18,{'f0': 0.14262160746274133},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0009_-12dB,single/train/signals/NM_0009_-12dB.npy,NM,0,-12,{'f0': 0.27055741090938684},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0009_-06dB,single/train/signals/NM_0009_-06dB.npy,NM,0,-6,{'f0': 0.27055741090938684},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0009_+00dB,single/train/signals/NM_0009_+00dB.npy,NM,0,0,{'f0': 0.27055741090938684},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0009_+06dB,single/train/signals/NM_0009_+06dB.npy,NM,0,6,{'f0': 0.27055741090938684},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0009_+12dB,single/train/signals/NM_0009_+12dB.npy,NM,0,12,{'f0': 0.27055741090938684},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0009_+18dB,single/train/signals/NM_0009_+18dB.npy,NM,0,18,{'f0': 0.27055741090938684},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0010_-12dB,single/train/signals/NM_0010_-12dB.npy,NM,0,-12,{'f0': 0.18014399306401896},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0010_-06dB,single/train/signals/NM_0010_-06dB.npy,NM,0,-6,{'f0': 0.18014399306401896},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0010_+00dB,single/train/signals/NM_0010_+00dB.npy,NM,0,0,{'f0': 0.18014399306401896},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0010_+06dB,single/train/signals/NM_0010_+06dB.npy,NM,0,6,{'f0': 0.18014399306401896},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0010_+12dB,single/train/signals/NM_0010_+12dB.npy,NM,0,12,{'f0': 0.18014399306401896},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0010_+18dB,single/train/signals/NM_0010_+18dB.npy,NM,0,18,{'f0': 0.18014399306401896},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0011_-12dB,single/train/signals/NM_0011_-12dB.npy,NM,0,-12,{'f0': 0.10901763774655931},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0011_-06dB,single/train/signals/NM_0011_-06dB.npy,NM,0,-6,{'f0': 0.10901763774655931},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0011_+00dB,single/train/signals/NM_0011_+00dB.npy,NM,0,0,{'f0': 0.10901763774655931},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0011_+06dB,single/train/signals/NM_0011_+06dB.npy,NM,0,6,{'f0': 0.10901763774655931},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0011_+12dB,single/train/signals/NM_0011_+12dB.npy,NM,0,12,{'f0': 0.10901763774655931},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0011_+18dB,single/train/signals/NM_0011_+18dB.npy,NM,0,18,{'f0': 0.10901763774655931},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0012_-12dB,single/train/signals/NM_0012_-12dB.npy,NM,0,-12,{'f0': 0.25706064952340757},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0012_-06dB,single/train/signals/NM_0012_-06dB.npy,NM,0,-6,{'f0': 0.25706064952340757},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0012_+00dB,single/train/signals/NM_0012_+00dB.npy,NM,0,0,{'f0': 0.25706064952340757},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0012_+06dB,single/train/signals/NM_0012_+06dB.npy,NM,0,6,{'f0': 0.25706064952340757},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0012_+12dB,single/train/signals/NM_0012_+12dB.npy,NM,0,12,{'f0': 0.25706064952340757},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0012_+18dB,single/train/signals/NM_0012_+18dB.npy,NM,0,18,{'f0': 0.25706064952340757},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0013_-12dB,single/train/signals/NM_0013_-12dB.npy,NM,0,-12,{'f0': 0.3824917205077675},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0013_-06dB,single/train/signals/NM_0013_-06dB.npy,NM,0,-6,{'f0': 0.3824917205077675},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0013_+00dB,single/train/signals/NM_0013_+00dB.npy,NM,0,0,{'f0': 0.3824917205077675},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0013_+06dB,single/train/signals/NM_0013_+06dB.npy,NM,0,6,{'f0': 0.3824917205077675},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0013_+12dB,single/train/signals/NM_0013_+12dB.npy,NM,0,12,{'f0': 0.3824917205077675},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0013_+18dB,single/train/signals/NM_0013_+18dB.npy,NM,0,18,{'f0': 0.3824917205077675},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0014_-12dB,single/train/signals/NM_0014_-12dB.npy,NM,0,-12,{'f0': 0.14432276723898846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0014_-06dB,single/train/signals/NM_0014_-06dB.npy,NM,0,-6,{'f0': 0.14432276723898846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
NM_0014_+00dB,single/train/signals/NM_0014_+00dB.npy,NM,0,0,{'f0': 0.14432276723898846},0,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
