signal_id,signal_path,modulation,modulation_idx,snr_db,params,is_dual_component,one_hot_label
SFM_0000_-12dB,single/train/signals/SFM_0000_-12dB.npy,SFM,5,-12,"{'fmin': 0.011555859028867426, 'delta_f': 0.1053039435893561, 'fSFM': 5.071364311731988, 'phiSFM': 1.601636558615676}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_-06dB,single/train/signals/SFM_0000_-06dB.npy,SFM,5,-6,"{'fmin': 0.011555859028867426, 'delta_f': 0.1053039435893561, 'fSFM': 5.071364311731988, 'phiSFM': 1.601636558615676}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+00dB,single/train/signals/SFM_0000_+00dB.npy,SFM,5,0,"{'fmin': 0.011555859028867426, 'delta_f': 0.1053039435893561, 'fSFM': 5.071364311731988, 'phiSFM': 1.601636558615676}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+06dB,single/train/signals/SFM_0000_+06dB.npy,SFM,5,6,"{'fmin': 0.011555859028867426, 'delta_f': 0.1053039435893561, 'fSFM': 5.071364311731988, 'phiSFM': 1.601636558615676}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+12dB,single/train/signals/SFM_0000_+12dB.npy,SFM,5,12,"{'fmin': 0.011555859028867426, 'delta_f': 0.1053039435893561, 'fSFM': 5.071364311731988, 'phiSFM': 1.601636558615676}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0000_+18dB,single/train/signals/SFM_0000_+18dB.npy,SFM,5,18,"{'fmin': 0.011555859028867426, 'delta_f': 0.1053039435893561, 'fSFM': 5.071364311731988, 'phiSFM': 1.601636558615676}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_-12dB,single/train/signals/SFM_0001_-12dB.npy,SFM,5,-12,"{'fmin': 0.01389153778145007, 'delta_f': 0.19776398356575287, 'fSFM': 4.638928338267686, 'phiSFM': 0.2766014777967704}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_-06dB,single/train/signals/SFM_0001_-06dB.npy,SFM,5,-6,"{'fmin': 0.01389153778145007, 'delta_f': 0.19776398356575287, 'fSFM': 4.638928338267686, 'phiSFM': 0.2766014777967704}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_+00dB,single/train/signals/SFM_0001_+00dB.npy,SFM,5,0,"{'fmin': 0.01389153778145007, 'delta_f': 0.19776398356575287, 'fSFM': 4.638928338267686, 'phiSFM': 0.2766014777967704}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SFM_0001_+06dB,single/train/signals/SFM_0001_+06dB.npy,SFM,5,6,"{'fmin': 0.01389153778145007, 'delta_f': 0.19776398356575287, 'fSFM': 4.638928338267686, 'phiSFM': 0.2766014777967704}",0,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
